date,observed_prefix_kwh,forecast_prefix_kwh
2025-04-01,2404.0645489821563,798.9912797627009
2025-04-02,1252.7656392553106,1162.8515801422343
2025-04-03,0.0,1248.8919944196982
2025-04-04,18.617212082802553,1111.6162465252835
2025-04-05,937.4262593312014,1060.502529154499
2025-04-06,18.83603981349995,1278.6810404269931
2025-04-07,716.8880436809861,1171.2529631438301
2025-04-08,0.0,1104.3431236064316
2025-04-09,2191.871543654319,1147.8284748822407
2025-04-10,0.0,1347.1712618901238
2025-04-11,0.0,965.6266306198427
2025-04-12,716.6897801276973,977.4917358660757
2025-04-13,566.0582899377905,1357.706604674947
2025-04-14,279.8366399861402,1335.4274476100554
2025-04-15,427.0642269052196,805.1894012461414
2025-04-16,742.4073174296944,761.7336515170139
2025-04-17,555.0687303013932,790.9787238132091
2025-04-18,188.68253726900616,699.2047466800157
2025-04-19,0.0,698.6187603952029
2025-04-20,327.92832030451905,743.9838843479305
2025-04-21,0.0,745.2492604904199
2025-04-22,1175.5227161775692,746.9530510586125
2025-04-23,832.8408793039971,709.7776086113843
2025-04-24,30.533041334359837,823.9417314213675
2025-04-25,171.9085390250184,484.6435342780664
2025-04-26,0.0,166.78188835131542
2025-04-27,641.9926200052428,716.6976782871354
2025-04-28,3268.398133970817,655.7658150311398
2025-04-29,113.49334220326574,864.2583581958323
2025-04-30,893.5714942024731,871.4703439034816
2025-05-01,37.715168746637005,905.5656204895329
2025-05-02,4572.902816095481,187.8010873685923
2025-05-03,1494.4887585331262,732.9423378318605
2025-05-04,1202.0289058328294,825.0973322829991
2025-05-05,466.8425158467644,879.2564356312841
2025-05-06,0.0,883.0047658052513
2025-05-07,1164.7649910557548,862.400356510949
2025-05-08,1831.4246897669577,943.2269654451999
2025-05-09,13.02821196660068,1169.6915973477107
2025-05-10,1663.7687625323454,1272.6327551192012
2025-05-11,792.485886753099,1226.5257209748138
2025-05-12,1410.6423559481552,1097.2302335090305
2025-05-13,151.06957241524458,1170.2584204517966
2025-05-14,7.640618746437667,1129.7442231701468
2025-05-15,216.04707577093177,1166.8786514748879
2025-05-16,0.0,1337.4595614044083
2025-05-17,2017.595098449286,1262.3284979474968
2025-05-18,1303.4345897149756,1315.2607145410987
2025-05-19,0.0,1339.0238374899948
2025-05-20,2502.2381780649976,1498.457370457606
2025-05-21,0.0,1417.9123104737962
2025-05-22,216.58713813602287,1417.4519901400054
2025-05-23,682.9093381563342,1666.3425139337721
2025-05-24,0.0,1483.0315494038935
2025-05-25,0.0,1513.5140108790904
2025-05-26,1148.8027075589603,1579.7430596363827
2025-05-27,0.0,1331.8231207384868
2025-05-28,542.601852436447,1531.3956515600644
2025-05-29,179.36820839919812,1486.4358604594265
2025-05-30,842.3797532336214,1936.2677038977001
2025-05-31,1465.7728931774782,1922.240267410567
2025-06-01,7839.694043175441,1436.7242990184864
2025-06-02,8087.784138723261,1333.1734768042338
2025-06-03,3949.0634122206593,985.1541649684546
2025-06-04,5485.741882776202,706.3935329692085
2025-06-05,4432.057664771536,203.77621329064866
2025-06-06,7378.37816402473,519.9772531770783
2025-06-07,5152.509590614072,4319.732866921519
2025-06-08,154.0779440846096,5181.866481429495
2025-06-09,0.0,5033.1110194493685
2025-06-10,225.08620432058115,5059.806113014925
2025-06-11,1694.516333493269,4813.657997557268
2025-06-12,910.6427486605929,3859.776907262084
2025-06-13,0.0,2474.394368290718
2025-06-14,302.85685117296975,2424.7074100330037
2025-06-15,659.5784602552444,1727.444908794871
2025-06-16,334.3928521824347,1725.6732630241984
2025-06-17,2394.0191251249494,1774.7216611098784
2025-06-18,341.9902274639553,2443.07502446648
2025-06-19,0.0,1745.4244006875533
2025-06-20,116.84871498121447,2285.366821175579
2025-06-21,0.0,2310.20151703427
