date,interval_start,load_forecast,pv_forecast,risk_delta,grid,reserve,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-01-15,2025-01-15T00:00:00,630.0752870030816,0.0,0.0,1463.408620336415,0.0,833.3333333333334,0.0,0.0,26.635520336414857,26.635520336414857,0.0,6000.0,6750.0
2025-01-15,2025-01-15T00:10:00,647.1065007593129,0.040865291902777656,0.0,1480.3989688007432,0.0,833.3333333333334,0.0,0.0,29.009352134076494,29.009352134076494,0.0,6750.0,7500.0
2025-01-15,2025-01-15T00:20:00,622.8566449032713,0.41045542219734843,0.0,1455.7795228144073,0.0,816.0595228144073,0.0,0.0,0.0,0.0,0.0,7500.0,8234.453570532967
2025-01-15,2025-01-15T00:30:00,569.7139183371559,0.984059359146559,0.0,1402.0631923113424,0.0,785.8061089780091,0.0,0.0,0.0,0.0,0.0,8234.453570532967,8941.679068613175
2025-01-15,2025-01-15T00:40:00,570.8342660767677,1.7290185455478815,0.0,1402.438580864553,0.0,799.7293975312197,0.0,0.0,0.0,0.0,0.0,8941.679068613175,9661.435526391273
2025-01-15,2025-01-15T00:50:00,618.2787886482676,2.604893897504132,0.0,615.6738947507635,0.0,0.0,6.036105249236584,0.0,0.0,0.0,0.0,9661.435526391273,9654.72874278101
2025-01-15,2025-01-15T01:00:00,622.4263619024687,3.564662058493034,0.0,618.8616998439757,0.0,0.0,22.289566822690972,0.0,0.0,0.0,0.0,9654.72874278101,9629.962557422465
2025-01-15,2025-01-15T01:10:00,601.1626183292444,4.556129421635546,0.0,596.6064889076089,0.0,0.0,53.14751109239114,0.0,0.0,0.0,0.0,9629.962557422465,9570.909767319808
2025-01-15,2025-01-15T01:20:00,604.0383747809832,5.523534239114844,0.0,931.8481738752016,0.0,285.97984054186827,0.0,0.0,0.0,0.0,0.0,9570.909767319808,9828.29162380749
2025-01-15,2025-01-15T01:30:00,652.9862389252431,6.409303034574347,0.0,646.5769358906688,0.0,10.730602557335487,0.0,0.0,0.0,0.0,0.0,9828.29162380749,9837.949166109092
2025-01-15,2025-01-15T01:40:00,651.6859621541051,7.155924059093872,0.0,644.5300380950113,0.0,2.847488095011272,0.0,0.0,0.0,0.0,0.0,9837.949166109092,9840.511905394602
2025-01-15,2025-01-15T01:50:00,624.4484190023111,7.7078977500974695,0.0,616.7405212522136,0.0,0.0,42.66614541445301,0.0,0.0,0.0,0.0,9840.511905394602,9793.10507715632
2025-01-15,2025-01-15T02:00:00,681.4600964834445,8.013722119053563,0.0,673.446374364391,0.0,11.860774364390977,0.0,0.0,0.0,0.0,0.0,9793.10507715632,9803.779774084273
2025-01-15,2025-01-15T02:10:00,684.3332571459677,8.027869748597816,0.0,676.3053873973698,0.0,29.339287397369844,0.0,0.0,0.0,0.0,0.0,9803.779774084273,9830.185132741906
2025-01-15,2025-01-15T02:20:00,632.4299327794276,7.712712649222018,0.0,624.7172201302056,0.0,0.0,12.244446536461055,0.0,0.0,0.0,0.0,9830.185132741906,9816.580192145839
2025-01-15,2025-01-15T02:30:00,667.0804190979807,7.040351621911905,0.0,660.0400674760688,0.0,7.73498414273547,0.0,0.0,0.0,0.0,0.0,9816.580192145839,9823.5416778743
2025-01-15,2025-01-15T02:40:00,696.1711908705863,5.994307993319011,0.0,690.1768828772673,0.0,39.428732877267294,0.0,0.0,0.0,0.0,0.0,9823.5416778743,9859.02753746384
2025-01-15,2025-01-15T02:50:00,677.5761181193602,4.571037616717261,0.0,673.005080502643,0.0,32.498413835976294,0.0,0.0,0.0,0.0,0.0,9859.02753746384,9888.27610991622
2025-01-15,2025-01-15T03:00:00,669.4333048764702,2.7812298331761354,0.0,666.6520750432941,0.0,0.0,6.314008290039283,0.0,0.0,0.0,0.0,9888.27610991622,9881.26054514951
2025-01-15,2025-01-15T03:10:00,687.6619323954565,0.6508576171888999,0.0,687.0110747782676,0.0,0.0,20.827375221732495,0.0,0.0,0.0,0.0,9881.26054514951,9858.119017125362
2025-01-15,2025-01-15T03:20:00,713.1305048997435,0.0,0.0,713.1305048997435,0.0,5.123838233076867,0.0,0.0,0.0,0.0,0.0,9858.119017125362,9862.730471535131
