charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,reserve_threshold_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,reserve_original_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
134.26392804490865,0.0,0.0,0.0,0.0,0.0,2189.39710803928,2310.2346432796976,2237.7204970436233,2025-03-20,1,2025-03-20 00:00:00,2025-03-20 00:10:00,0,549.8448166666667,0.0,599.953889516172,0.6881231779921642,684.1087447115754,684.1087447115754,2237.7204970436233,0.4487,306.95959375208383,0.0,-0.0,306.95959375208383,0.0,306.95959375208383
65.73953766388445,0.0,0.0,0.0,0.0,0.0,2310.2346432796976,2369.4002271771938,2189.115124002041,2025-03-20,2,2025-03-20 00:10:00,2025-03-20 00:20:00,0,570.3135,0.0,593.4156177461416,0.7635675828808566,636.0530376638844,636.0530376638844,2189.115124002041,0.4373,278.14599337041665,0.0,-0.0,278.14599337041665,0.0,278.14599337041665
39.80927310864797,0.0,0.0,0.0,0.0,0.0,2369.4002271771938,2405.228572974977,2238.3659772368683,2025-03-20,3,2025-03-20 00:20:00,2025-03-20 00:30:00,0,613.8516666666667,0.0,580.4393460126182,0.23923107243809127,653.6609397753147,653.6609397753147,2238.3659772368683,0.4311,281.79323113713815,0.0,-0.0,281.79323113713815,0.0,281.79323113713815
31.663027452985034,0.0,0.0,0.0,0.0,0.0,2405.228572974977,2433.7252976826635,2189.58290000131,2025-03-20,4,2025-03-20 00:30:00,2025-03-20 00:40:00,0,579.4561666666667,0.0,589.9157636485189,0.0,611.1191941196518,611.1191941196518,2189.58290000131,0.4344,265.4701779255767,0.0,-0.0,265.4701779255767,0.0,265.4701779255767
55.35964222223208,0.0,0.0,0.0,0.0,0.0,2433.7252976826635,2483.5489756826723,2253.7829659021086,2025-03-20,5,2025-03-20 00:40:00,2025-03-20 00:50:00,0,550.4449166666667,0.0,585.7067371611821,0.0,605.8045588888988,605.8045588888988,2253.7829659021086,0.4238,256.7399720571153,0.0,-0.0,256.7399720571153,0.0,256.7399720571153
47.416258317610755,0.0,0.0,0.0,0.0,0.0,2483.5489756826723,2526.223608168522,2196.6555307545323,2025-03-20,6,2025-03-20 00:50:00,2025-03-20 01:00:00,0,571.1566666666666,0.0,563.8726304229446,0.0,618.5729249842774,618.5729249842774,2196.6555307545323,0.4296,265.7389285732456,0.0,-0.0,265.7389285732456,0.0,265.7389285732456
750.8857234194544,0.0,0.0,0.0,0.0,0.0,2526.223608168522,3202.020759246031,2939.39710803928,2025-03-20,7,2025-03-20 01:00:00,2025-03-20 01:10:00,0,601.5890499999999,0.0,557.0724677171621,0.0,1352.4747734194543,1352.4747734194543,2939.39710803928,0.4989,674.7496644589658,0.0,-0.0,674.7496644589658,0.0,674.7496644589658
741.5764646898643,0.0,0.0,0.0,0.0,0.0,3202.020759246031,3869.439577466909,3689.39710803928,2025-03-20,8,2025-03-20 01:10:00,2025-03-20 01:20:00,0,611.48375,0.0,550.5681314738787,0.0,1353.0602146898643,1353.0602146898643,3689.39710803928,0.5083,687.760507126858,0.0,-0.0,687.760507126858,0.0,687.760507126858
758.4675789796424,0.0,0.0,0.0,0.0,0.0,3869.439577466909,4552.060398548588,4439.39710803928,2025-03-20,9,2025-03-20 01:20:00,2025-03-20 01:30:00,0,598.2166666666667,0.0,543.8389841690238,0.0,1356.6842456463091,1356.6842456463091,4439.39710803928,0.4468,606.1665209547709,0.0,-0.0,606.1665209547709,0.0,606.1665209547709
48.734273925638036,0.0,0.0,0.0,0.0,0.0,4552.060398548588,4595.921245081662,4439.55467129582,2025-03-20,10,2025-03-20 01:30:00,2025-03-20 01:40:00,0,583.9359499999999,0.0,557.3656575097407,0.0,632.670223925638,632.670223925638,4439.55467129582,0.4284,271.0359239297433,0.0,-0.0,271.0359239297433,0.0,271.0359239297433
