date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-06-21,0,259.79076417704346,672.0476946831136,240
2025-06-21,240,426.7191120975875,4410.491723519911,480
2025-06-21,480,10201.604748360543,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,94.91184399827159,5779.565864056767,1200
2025-06-21,1200,6539.976006039265,2545.130302464578,1440
2025-09-23,0,4528.352906179477,200.49179013872242,240
2025-09-23,240,1027.4537488697893,6648.394087748743,480
2025-09-23,480,5599.96995230348,1896.6157166666667,720
2025-09-23,720,5436.557238840227,443.57747812649245,960
2025-09-23,960,22.03145358579866,6162.277865111735,1200
2025-09-23,1200,5504.298915626075,2455.6150508329415,1440
2025-12-21,0,7323.991362402384,132.05962265149276,240
2025-12-21,240,2350.118859023154,1580.707082985345,480
2025-12-21,480,5698.3351932714995,7351.757881545873,720
2025-12-21,720,7195.000652336768,2669.726665020574,960
2025-12-21,960,35.277110681653426,6109.036504379674,1200
2025-12-21,1200,2514.87342106801,2157.529733163226,1440
