month,P,P_floor,S_joint
2025-02,1214271.4400430715,1203345.321086006,1199796.0868590495
2025-03,1150897.633277178,1138692.8942568682,1151738.321269162
2025-04,971322.8903103238,958307.4109204874,960270.3159281592
2025-05,1018486.8658030627,997941.6880742894,1003655.7807645391
2025-06,1540979.387376441,1518168.1212240064,1557124.4660885818
2025-07,1605033.4056356794,1579052.4866998768,1570900.8127797684
2025-08,1304311.6174849782,1289968.211783756,1310594.6888716347
2025-09,1179978.6873753427,1160018.0191942728,1155003.9732123306
2025-10,1161709.3553653283,1140400.9186491894,1131502.6673045887
2025-11,1290103.2995565562,1275678.3560749812,1252176.7216583847
2025-12,1772415.263125569,1761265.1705348133,1788008.9362938034
