template_cell,original_label,literal_start_minute,literal_end_minute,internal_slot_if_literal_match,export_status
A2,0:10-0:20,10,20,2.0,not_exported_pending_confirmation
A3,0:20-0:30,20,30,3.0,not_exported_pending_confirmation
A4,0:30-0:40,30,40,4.0,not_exported_pending_confirmation
A5,0:40-0:50,40,50,5.0,not_exported_pending_confirmation
A6,0:50-1:00,50,60,6.0,not_exported_pending_confirmation
A7,1:00-1:10,60,70,7.0,not_exported_pending_confirmation
A8,1:10-1:20,70,80,8.0,not_exported_pending_confirmation
A9,1:20-1:30,80,90,9.0,not_exported_pending_confirmation
A10,1:30-1:40,90,100,10.0,not_exported_pending_confirmation
A11,1:40-1:50,100,110,11.0,not_exported_pending_confirmation
A12,1:50-2:00,110,120,12.0,not_exported_pending_confirmation
A13,2:00-2:10,120,130,13.0,not_exported_pending_confirmation
A14,2:10-2:20,130,140,14.0,not_exported_pending_confirmation
A15,2:20-2:30,140,150,15.0,not_exported_pending_confirmation
A16,2:30-2:40,150,160,16.0,not_exported_pending_confirmation
A17,2:40-2:50,160,170,17.0,not_exported_pending_confirmation
A18,2:50-3:00,170,180,18.0,not_exported_pending_confirmation
A19,3:00-3:10,180,190,19.0,not_exported_pending_confirmation
A20,3:10-3:20,190,200,20.0,not_exported_pending_confirmation
A21,3:20-3:30,200,210,21.0,not_exported_pending_confirmation
A22,3:30-3:40,210,220,22.0,not_exported_pending_confirmation
A23,3:40-3:50,220,230,23.0,not_exported_pending_confirmation
A24,3:50-4:00,230,240,24.0,not_exported_pending_confirmation
A25,4:00-4:10,240,250,25.0,not_exported_pending_confirmation
A26,4:10-4:20,250,260,26.0,not_exported_pending_confirmation
A27,4:20-4:30,260,270,27.0,not_exported_pending_confirmation
A28,4:30-4:40,270,280,28.0,not_exported_pending_confirmation
A29,4:40-4:50,280,290,29.0,not_exported_pending_confirmation
A30,4:50-5:00,290,300,30.0,not_exported_pending_confirmation
A31,5:00-5:10,300,310,31.0,not_exported_pending_confirmation
A32,5:10-5:20,310,320,32.0,not_exported_pending_confirmation
A33,5:20-5:30,320,330,33.0,not_exported_pending_confirmation
A34,5:30-5:40,330,340,34.0,not_exported_pending_confirmation
A35,5:40-5:50,340,350,35.0,not_exported_pending_confirmation
