date,interval_start,interval_end,grid_original_kwh,grid_effective_kwh
2025-03-20,2025-03-20 10:00:00,2025-03-20 10:10:00,0.0,0.0
2025-03-20,2025-03-20 12:00:00,2025-03-20 12:10:00,536.8102600307327,430.0947794751769
2025-03-20,2025-03-20 14:00:00,2025-03-20 14:10:00,0.0,0.0
2025-03-20,2025-03-20 16:00:00,2025-03-20 16:10:00,620.2316521749822,620.2316521749821
2025-03-20,2025-03-20 18:00:00,2025-03-20 18:10:00,701.8792937774591,701.8792937774591
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:10:00,0.0,0.0
2025-06-21,2025-06-21 10:00:00,2025-06-21 10:10:00,0.0,0.0
2025-06-21,2025-06-21 12:00:00,2025-06-21 12:10:00,0.0,0.0
2025-06-21,2025-06-21 14:00:00,2025-06-21 14:10:00,0.0,0.0
2025-06-21,2025-06-21 16:00:00,2025-06-21 16:10:00,146.75924915888982,134.74103044406462
2025-06-21,2025-06-21 18:00:00,2025-06-21 18:10:00,0.0,0.0
2025-06-21,2025-06-21 20:00:00,2025-06-21 20:10:00,0.0,0.0
2025-09-23,2025-09-23 10:00:00,2025-09-23 10:10:00,0.0,0.0
2025-09-23,2025-09-23 12:00:00,2025-09-23 12:10:00,356.28567531048645,356.2856753104865
2025-09-23,2025-09-23 14:00:00,2025-09-23 14:10:00,0.0,0.0
2025-09-23,2025-09-23 16:00:00,2025-09-23 16:10:00,525.9245983975208,487.5705406573587
2025-09-23,2025-09-23 18:00:00,2025-09-23 18:10:00,755.3486078393819,755.3486078393819
2025-09-23,2025-09-23 20:00:00,2025-09-23 20:10:00,0.0,0.0
2025-12-21,2025-12-21 10:00:00,2025-12-21 10:10:00,0.0,0.0
2025-12-21,2025-12-21 12:00:00,2025-12-21 12:10:00,951.5002052002513,847.506365767068
2025-12-21,2025-12-21 14:00:00,2025-12-21 14:10:00,0.0,0.0
2025-12-21,2025-12-21 16:00:00,2025-12-21 16:10:00,774.6653604153532,804.7601668155035
2025-12-21,2025-12-21 18:00:00,2025-12-21 18:10:00,730.7546719740922,730.7546719740922
2025-12-21,2025-12-21 20:00:00,2025-12-21 20:10:00,0.0,0.0
