month,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,policy
2025-02,1965558.455504323,1965558.455504323,2484.236282896368,1210186.7206657745,0.0,0.0,1210186.7206657745,13542.036938565983,1223728.7576043406,568830.9530054794,465823.9491468849,151156.01586195806,113304.75735713294,37851.25850482513,q3_no_update
2025-03,1844387.6857266503,1844387.6857266503,9856.988679482562,1111905.6132895416,0.0,0.0,1111905.6132895416,59247.27459303776,1171152.8878825794,576563.9345394219,466974.2539835833,218337.3273836276,92629.48043327381,125707.84695035378,q3_no_update
2025-04,1550404.6974765044,1550404.6974765044,5035.368634192401,913103.3294374602,0.0,0.0,913103.3294374602,31501.20887362702,944604.5383110872,522500.08700701507,423268.4420799765,238478.8221836582,52779.4874341478,185699.3347495104,q3_no_update
2025-05,1498240.6541710165,1498240.6541710165,14814.905956313001,906288.190409298,0.0,0.0,906288.190409298,81213.65947325718,987501.8498825552,494881.9216835729,399819.489018737,231182.66249582698,30569.018430010834,200613.64406581613,q3_no_update
2025-06,1997726.8239230013,1997726.8239230013,12810.81649521591,1271493.4704598098,0.0,0.0,1271493.4704598098,65402.45393957357,1336895.9243993834,515743.270272272,415819.2958738638,160620.49983647576,96409.11261109248,64211.38722538329,q3_no_update
2025-07,2217249.8126441943,2217249.8126441943,44770.70965996284,1435224.460189926,0.0,0.0,1435224.460189926,253749.7907892751,1688974.2509792012,494367.55399641267,400906.9960654614,223740.7048565392,124727.71513075785,99012.98972578134,q3_no_update
2025-08,1990928.0269677793,1990928.0269677793,1252.4332774464103,1294439.8865973796,0.0,0.0,1294439.8865973796,7673.975605723409,1302113.862203103,491778.68949284375,397762.6418801174,314051.54836583254,96952.29241556475,217099.25595026778,q3_no_update
2025-09,1756887.612018212,1756887.612018212,6422.496861572422,1121524.9719249634,0.0,0.0,1121524.9719249634,35231.05547999654,1156756.02740496,501932.04689075676,408479.5951679689,281473.7899069964,98995.67229506733,182478.1176119291,q3_no_update
2025-10,1880845.0506677106,1880845.0506677106,564.480775783487,1155281.9216169072,0.0,0.0,1155281.9216169072,2467.8056810830262,1157749.7272979904,567075.155824509,459886.2698935625,299087.05447921436,128186.2289170895,170900.8255621249,q3_no_update
2025-11,2030589.0010232567,2030589.0010232567,159.57427807587595,1268095.1462735815,0.0,0.0,1268095.1462735815,683.0858544925385,1268778.232128074,603341.7483885051,488374.05595700897,127808.4748865032,73735.92363921294,54072.551247290256,q3_no_update
2025-12,2612641.6262848945,2612641.6262848945,16862.9044076473,1665195.9174646111,0.0,0.0,1665195.9174646111,89234.885857042,1754430.803321653,650056.5468624267,526578.575920761,141989.623517543,131634.7422814316,10354.881236111403,q3_no_update
2025-02,1965042.0091963736,1954287.0386632069,819.6354350869401,1210063.6229284264,4988.558426623394,-3560.615749434001,1211491.5656056157,3948.4648896170233,1215440.0304952327,567521.6586681873,464763.85962973326,138469.2029931731,101298.95241153825,37170.25058163486,q3_soc
2025-03,1844337.0432553603,1839457.2620875128,2095.3249841800457,1111961.32482918,16245.366965488445,-4400.761474470274,1123805.9303201982,10039.389015402467,1133845.3193356006,581080.7920187825,470616.5652720682,204770.69385831204,80544.31305537789,124226.38080293416,q3_soc
2025-04,1551445.4966973572,1535016.5465567284,1094.3233064516098,913540.7861440529,10126.716128936838,-5839.99930560537,917827.5029673843,5724.53135216191,923552.0343195463,523746.4986209697,424447.8189961471,219082.5912383575,40382.50838877493,178700.08284958257,q3_soc
2025-05,1497308.5947972313,1484944.5613531193,12030.46246253718,905919.3192737084,8458.012362436477,-4863.372761848703,909513.9588742962,62827.36948741499,972341.3283617111,496181.5256459971,400716.1250711735,214699.1582741661,21002.020727957603,193697.1375462085,q3_soc
