grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,policy,branch,stage,source_ledger,initial_energy_kwh,final_energy_kwh,days,intervals,normal_cost_yuan,unused_grid_cost_yuan,inventory_adjusted_cost_yuan,emergency_margin_yuan,passes_emergency_reference,emergency_days,emergency_intervals,wall_seconds,optimizer_count,optimizer_success_count,optimizer_non_success_count,optimizer_exception_count,initializer_fallback_count,retained_start_selected_count,keep_current_selected_count,optimizer_nfev,optimizer_total_wall_seconds,milp_total_runtime_seconds
21345459.446407545,21345459.446407545,115034.91530858856,13352739.628329253,0.0,0.0,13352739.628329253,639947.2330856741,13992686.861414928,5987071.907963215,4853693.564987926,2387926.5237741754,1039924.4309447818,1348002.0928293932,q3_no_update,q3,new_direct,results/unified_direct_v5/runs/q3_no_update/ledger.csv,7268.4231640740745,2640.290344384045,334,48096,,649150.5009626263,13995878.317674398,360052.7669143259,True,95,801,30.390563166991342,668.0,133.0,535.0,0.0,0.0,0.0,0.0,151911.0,14.94970978613128,7.402026079042116
21351247.257021114,21222549.894035418,55563.303020601496,13355539.95124755,131169.9412799799,-56669.966586508555,13430039.925941022,277073.19420576055,13707113.120146785,6005523.896501135,4868827.690422395,2202227.4960106118,883291.1918392393,1318936.3041713727,q3_soc,q3,new_direct,results/unified_direct_v5/runs/q3_soc/ledger.csv,7268.4231640740745,2431.385101323056,334,48096,,581961.2007066412,13710448.6327615,722926.8057942395,True,79,565,91.53462654200848,2672.0,1201.0,1471.0,0.0,0.0,0.0,563.0,555090.0,41.16410722590808,28.905660386255477
21336166.251840226,20667240.95300194,58964.99677698425,13348997.50199932,183191.51387440873,-269883.21448736225,13262305.801386368,299527.6520275879,13561833.453413954,6107606.292032415,4951505.151912885,1630915.3146927257,427608.4792362646,1203306.835456461,q3_raw,q3,new_direct,results/unified_direct_v5/runs/q3_raw/ledger.csv,7268.4231640740745,2441.6949789320743,334,48096,,277892.2498264109,13565161.856569044,700472.3479724121,True,69,545,94.3691480000125,2672.0,1227.0,1445.0,0.0,0.0,2.0,171.0,553146.0,42.568142425778206,29.277366490961867
21358907.49159117,20679171.415703118,55451.41199112972,13376885.9147599,190666.9343455502,-280722.55860423285,13286830.290501216,278040.0911821718,13564870.381683389,6105351.97354245,4949759.652603437,1639841.0117885703,432578.9097974963,1207262.101991074,q3_w28,q3,new_direct,results/unified_direct_v5/runs/q3_w28/ledger.csv,7268.4231640740745,2352.252015126735,334,48096,,280737.97971402295,13568260.462693851,721959.9088178282,True,63,522,94.27552587499667,2672.0,1237.0,1435.0,0.0,0.0,0.0,187.0,552274.0,41.95006692742754,28.88461489113979
21056753.919667207,21056753.919667207,148232.8435666277,13817618.389858397,0.0,0.0,13817618.389858397,867878.9029402307,14685497.292798627,6211427.499897426,5034856.800993392,2089226.569363135,745322.5111405252,1343904.0582226096,q42_ols,q42,new_direct,results/unified_direct_v5/runs/q42_ols/ledger.csv,7268.4231640740745,3267.838634655447,334,48096,13817618.389858397,460624.01263635594,14688256.005876962,132121.09705976932,True,88,950,33.15046454100229,668.0,81.0,587.0,0.0,0.0,0.0,0.0,151980.0,16.410650998048368,8.201841080954182
20999350.338290498,20999350.338290498,147407.72985395137,13807519.16506477,0.0,0.0,13807519.16506477,871020.2966258399,14678539.461690612,6034574.932373809,4891721.579142131,2064715.219946105,733479.5440586898,1331235.6758874154,q42_fixed,q42,new_direct,results/unified_direct_v5/runs/q42_fixed/ledger.csv,7268.4231640740745,3139.6632536900206,334,48096,13807519.16506477,455913.586031077,14681386.561627716,128979.7033741601,True,90,931,33.32643245899817,668.0,106.0,562.0,0.0,0.0,0.0,0.0,154442.0,16.550818416872062,8.26466353610158
21361288.96086126,20667883.283688128,60487.07461139311,14103126.895934964,193984.10502257018,-302797.3528845589,13994313.648072973,327544.72247310117,14321858.370546076,6281811.826246752,5092660.805011798,1600029.8420979006,393528.4972338391,1206501.3448640616,q43_raw_ols,q43,new_direct,results/unified_direct_v5/runs/q43_raw_ols/ledger.csv,7268.4231640740745,2387.061217486307,334,48096,,260176.5495228166,14325224.4479138,672455.2775268988,True,60,569,93.52724075000151,2672.0,1256.0,1416.0,0.0,0.0,0.0,160.0,552077.0,42.30834115228208,28.76663994327828
21374388.85443678,20681050.500023752,57554.12530033104,14131045.243063413,200124.46997163707,-313462.5898140933,14017707.123220956,307440.51003941335,14325147.63326037,6284636.895579906,5094971.859023654,1609750.093801164,403774.26984924125,1205975.8239519228,q43_w28_ols,q43,new_direct,results/unified_direct_v5/runs/q43_w28_ols/ledger.csv,7268.4231640740745,2361.7858263740313,334,48096,,264114.82632142486,14328531.139969107,692559.4899605867,True,57,551,94.82529054098995,2672.0,1262.0,1410.0,0.0,0.0,1.0,163.0,553472.0,42.418328483909136,28.505916522961343
21336166.251840226,20667240.95300194,58964.99677698425,14097226.620981397,195861.24025675247,-285903.8331084431,14007184.028129708,327865.504202347,14335049.532332055,6107606.292032415,4951505.151912885,1630915.3146927257,427608.4792362646,1203306.835456461,q43_raw_fixed,q43,new_direct,results/unified_direct_v5/runs/q43_raw_fixed/ledger.csv,7268.4231640740745,2441.6949789320743,334,48096,,290655.06992501765,14338377.935487146,672134.495797653,True,69,545,93.99591737501032,2672.0,1227.0,1445.0,0.0,0.0,2.0,171.0,553146.0,42.397433408143115,29.089243701964733
21358907.49159117,20679171.415703118,55451.41199112972,14132425.938710647,199229.40277962922,-299971.23206521757,14031684.109425059,307204.8545824839,14338888.964007543,6105351.97354245,4949759.652603437,1639841.0117885703,432578.9097974963,1207262.101991074,q43_w28_fixed,q43,new_direct,results/unified_direct_v5/runs/q43_w28_fixed/ledger.csv,7268.4231640740745,2352.252015126735,334,48096,,292428.62878512347,14342279.045018006,692795.1454175161,True,63,522,95.36550612500287,2672.0,1237.0,1435.0,0.0,0.0,0.0,187.0,552274.0,42.38824849907542,29.146669510635547
