date,issue_hour,issue_time,slot_id,interval_start,interval_end,load_forecast_kwh,pv_forecast_kwh,pv_raw_forecast_kwh,grid_original_kwh,accepted,grid_kwh,charge_kwh,discharge_kwh,surplus_kwh,energy_start_kwh,energy_end_kwh,charge_mode,emergency_plan_kwh
2025-02-01,0,2025-02-01 00:00:00,1,2025-02-01 00:00:00,2025-02-01 00:10:00,446.62184779000137,0.30050290088415643,0.30050290088415643,1279.6546782224505,True,1279.6546782224505,833.3333333333333,0.0,0.0,7268.4231640740745,8018.4231640740745,1.0,0.0
2025-02-01,0,2025-02-01 00:00:00,2,2025-02-01 00:10:00,2025-02-01 00:20:00,441.33740164805374,0.6505706636568043,0.6505706636568043,1274.0201643177302,True,1274.0201643177302,833.3333333333333,0.0,0.0,8018.4231640740745,8768.423164074075,1.0,0.0
2025-02-01,0,2025-02-01 00:00:00,3,2025-02-01 00:20:00,2025-02-01 00:30:00,439.3940358801821,1.0403089385468585,1.0403089385468585,1271.6870602749686,True,1271.6870602749686,833.3333333333333,0.0,0.0,8768.423164074075,9518.423164074075,1.0,0.0
2025-02-01,0,2025-02-01 00:00:00,4,2025-02-01 00:30:00,2025-02-01 00:40:00,467.9889913571435,1.4534183399936076,1.4534183399936076,466.5355730171499,True,466.5355730171499,0.0,0.0,0.0,9518.423164074075,9518.423164074075,-0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,5,2025-02-01 00:40:00,2025-02-01 00:50:00,473.85663408715675,1.8677750793967487,1.8677750793967487,1062.629787814344,True,1062.629787814344,590.6409288065838,0.0,0.0,9518.423164074075,10050.0,1.0,0.0
2025-02-01,0,2025-02-01 00:00:00,6,2025-02-01 00:50:00,2025-02-01 01:00:00,460.54400507294906,2.256230205727409,2.256230205727409,458.28777486722163,True,458.28777486722163,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,7,2025-02-01 01:00:00,2025-02-01 01:10:00,480.5570409484658,2.587610135119509,2.587610135119509,477.96943081334626,True,477.96943081334626,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,8,2025-02-01 01:10:00,2025-02-01 01:20:00,476.8780047104005,2.8278966757510466,2.8278966757510466,474.05010803464944,True,474.05010803464944,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,9,2025-02-01 01:20:00,2025-02-01 01:30:00,456.92792090405095,2.941560689388316,2.941560689388316,453.9863602146626,True,453.9863602146626,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,10,2025-02-01 01:30:00,2025-02-01 01:40:00,486.37817986200923,2.8930199532897416,2.8930199532897416,483.4851599087195,True,483.4851599087195,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,11,2025-02-01 01:40:00,2025-02-01 01:50:00,497.2715434162344,2.6481887644671853,2.6481887644671853,494.6233546517672,True,494.6233546517672,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,12,2025-02-01 01:50:00,2025-02-01 02:00:00,479.3258722264782,2.176084421374876,2.176084421374876,477.14978780510336,True,477.14978780510336,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,13,2025-02-01 02:00:00,2025-02-01 02:10:00,491.73279970503086,1.450453973760852,1.450453973760852,490.28234573127,True,490.28234573127,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,14,2025-02-01 02:10:00,2025-02-01 02:20:00,504.6851195553068,0.45138358565362546,0.45138358565362546,504.2337359696532,True,504.2337359696532,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,15,2025-02-01 02:20:00,2025-02-01 02:30:00,499.43117337786794,0.0,0.0,499.43117337786794,True,499.43117337786794,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,16,2025-02-01 02:30:00,2025-02-01 02:40:00,491.44378426330286,0.0,0.0,491.44378426330286,True,491.44378426330286,0.0,0.0,0.0,10050.0,10050.0,0.0,0.0
