date,interval_start,interval_end,grid_original_kwh,grid_effective_kwh
2025-03-20,2025-03-20 10:00:00,2025-03-20 10:10:00,0.0,0.0
2025-03-20,2025-03-20 12:00:00,2025-03-20 12:10:00,536.8102600307327,430.0947794751769
2025-03-20,2025-03-20 14:00:00,2025-03-20 14:10:00,0.0,0.0
2025-03-20,2025-03-20 16:00:00,2025-03-20 16:10:00,620.2316521749822,620.2316521749821
2025-03-20,2025-03-20 18:00:00,2025-03-20 18:10:00,701.8792937774591,701.8792937774591
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:10:00,0.0,0.0
2025-06-21,2025-06-21 10:00:00,2025-06-21 10:10:00,0.0,0.0
2025-06-21,2025-06-21 12:00:00,2025-06-21 12:10:00,0.0,0.0
2025-06-21,2025-06-21 14:00:00,2025-06-21 14:10:00,0.0,0.0
2025-06-21,2025-06-21 16:00:00,2025-06-21 16:10:00,141.2539291797849,141.25392917978488
2025-06-21,2025-06-21 18:00:00,2025-06-21 18:10:00,0.0,0.0
2025-06-21,2025-06-21 20:00:00,2025-06-21 20:10:00,0.0,0.0
2025-09-23,2025-09-23 10:00:00,2025-09-23 10:10:00,0.0,0.0
2025-09-23,2025-09-23 12:00:00,2025-09-23 12:10:00,357.88501360769544,357.8850136076955
2025-09-23,2025-09-23 14:00:00,2025-09-23 14:10:00,0.0,0.0
2025-09-23,2025-09-23 16:00:00,2025-09-23 16:10:00,527.5239366947299,488.53842386540566
2025-09-23,2025-09-23 18:00:00,2025-09-23 18:10:00,755.3486078393819,755.3486078393819
2025-09-23,2025-09-23 20:00:00,2025-09-23 20:10:00,0.0,0.0
2025-12-21,2025-12-21 10:00:00,2025-12-21 10:10:00,0.0,0.0
2025-12-21,2025-12-21 12:00:00,2025-12-21 12:10:00,949.1017536949486,846.5029917839076
2025-12-21,2025-12-21 14:00:00,2025-12-21 14:10:00,0.0,0.0
2025-12-21,2025-12-21 16:00:00,2025-12-21 16:10:00,772.2669089100505,803.7567928323431
2025-12-21,2025-12-21 18:00:00,2025-12-21 18:10:00,730.7546719740922,730.7546719740922
2025-12-21,2025-12-21 20:00:00,2025-12-21 20:10:00,0.0,0.0
