slot_id,actual_price_yuan_per_kwh,executed_grid_kwh,price_forecast_0_yuan_per_kwh,grid_plan_0_kwh,price_forecast_6_yuan_per_kwh,grid_plan_6_kwh,price_forecast_12_yuan_per_kwh,grid_plan_12_kwh,price_forecast_18_yuan_per_kwh,grid_plan_18_kwh,hour
1,0.5394,861.1406642480725,0.5261729407196023,861.1406642480725,,,,,,,0.0
2,0.5333,829.1897695311746,0.5325020392371841,829.1897695311746,,,,,,,0.16666666666666666
3,0.5036,857.006435147348,0.5658538500787387,857.006435147348,,,,,,,0.3333333333333333
4,0.5117,877.3084337068769,0.5606927233137284,877.3084337068769,,,,,,,0.5
5,0.5478,879.9497250617534,0.536001171086502,879.9497250617534,,,,,,,0.6666666666666666
6,0.5989,882.1171990058588,0.534010943764443,882.1171990058588,,,,,,,0.8333333333333334
7,0.6458,828.1997725325591,0.5708268731883296,828.1997725325591,,,,,,,1.0
8,0.5903,829.4156483527819,0.5576074505319504,829.4156483527819,,,,,,,1.1666666666666667
9,0.507,849.6466042673569,0.5065397490698111,849.6466042673569,,,,,,,1.3333333333333333
10,0.5715,870.9947956302146,0.5193986252513269,870.9947956302146,,,,,,,1.5
11,0.6014,809.2217601027136,0.5491025632577798,809.2217601027136,,,,,,,1.6666666666666667
12,0.5339,796.0537417325189,0.5490403074158677,796.0537417325189,,,,,,,1.8333333333333333
13,0.4907,889.4757628356493,0.5248597958132641,889.4757628356493,,,,,,,2.0
14,0.4848,885.8440568193307,0.5324048702449475,885.8440568193307,,,,,,,2.1666666666666665
15,0.4941,749.3360892154532,0.5546935737538475,749.3360892154532,,,,,,,2.3333333333333335
16,0.4993,792.876338061725,0.5244116658877213,792.876338061725,,,,,,,2.5
17,0.5155,849.1638510460492,0.5082755026561823,849.1638510460492,,,,,,,2.6666666666666665
18,0.5431,811.3307269112221,0.5211159087226142,811.3307269112221,,,,,,,2.8333333333333335
19,0.563,847.7955575639785,0.5135285936486588,847.7955575639785,,,,,,,3.0
20,0.5717,822.3520554236635,0.5225763689873143,822.3520554236635,,,,,,,3.1666666666666665
21,0.5719,796.1706044149709,0.5513645861613512,796.1706044149709,,,,,,,3.3333333333333335
22,0.5585,770.6324888411351,0.5532983917288613,770.6324888411351,,,,,,,3.5
23,0.4925,824.331602481504,0.5099198209794685,824.331602481504,,,,,,,3.6666666666666665
24,0.4223,1261.8291147406192,0.4785919422198316,1261.8291147406192,,,,,,,3.8333333333333335
25,0.4443,794.4028184996104,0.5302078241912951,794.4028184996104,,,,,,,4.0
26,0.4656,818.2610739491754,0.526615836628073,818.2610739491754,,,,,,,4.166666666666667
27,0.4551,1399.599472863727,0.4754244383018117,1399.599472863727,,,,,,,4.333333333333333
28,0.4698,790.6329537530382,0.5182337118943096,790.6329537530382,,,,,,,4.5
29,0.4797,755.3034646949993,0.5457938670340845,755.3034646949993,,,,,,,4.666666666666667
