date,slot_id,issue_time,forecast_history_end,load_forecast_kwh,pv_forecast_kwh,risk_delta_kwh,plan_load_kwh,plan_pv_kwh,selected_index,selected_tau,selected_terminal,selected_terminal_energy_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan
2025-02-01,1,2025-02-01 00:00:00,2025-02-01 00:00:00,446.62184779000137,0.30050290088415643,15.147777611318979,461.76962540132035,0.30050290088415643,2,0.7,equal_initial,7268.4231640740745,1294.8024558337695,833.3333333333333,0.0,7268.4231640740745,8018.4231640740745,0.0,1.0
2025-02-01,2,2025-02-01 00:00:00,2025-02-01 00:00:00,441.33740164805374,0.6505706636568043,15.147777611318979,456.4851792593727,0.6505706636568043,2,0.7,equal_initial,7268.4231640740745,1289.1679419290492,833.3333333333333,0.0,8018.4231640740745,8768.423164074075,0.0,1.0
2025-02-01,3,2025-02-01 00:00:00,2025-02-01 00:00:00,439.3940358801821,1.0403089385468585,15.147777611318979,454.5418134915011,1.0403089385468585,2,0.7,equal_initial,7268.4231640740745,1286.8348378862875,833.3333333333333,0.0,8768.423164074075,9518.423164074075,0.0,1.0
2025-02-01,4,2025-02-01 00:00:00,2025-02-01 00:00:00,467.9889913571435,1.4534183399936076,15.147777611318979,483.1367689684625,1.4534183399936076,2,0.7,equal_initial,7268.4231640740745,481.6833506284689,0.0,0.0,9518.423164074075,9518.423164074075,0.0,-0.0
2025-02-01,5,2025-02-01 00:00:00,2025-02-01 00:00:00,473.85663408715675,1.8677750793967487,15.147777611318979,489.00441169847574,1.8677750793967487,2,0.7,equal_initial,7268.4231640740745,1077.777565425663,590.6409288065838,0.0,9518.423164074075,10050.0,0.0,1.0
2025-02-01,6,2025-02-01 00:00:00,2025-02-01 00:00:00,460.54400507294906,2.256230205727409,15.147777611318979,475.69178268426805,2.256230205727409,2,0.7,equal_initial,7268.4231640740745,473.4355524785406,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,7,2025-02-01 00:00:00,2025-02-01 00:00:00,480.5570409484658,2.587610135119509,26.457224178835848,507.01426512730166,2.587610135119509,2,0.7,equal_initial,7268.4231640740745,504.42665499218214,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,8,2025-02-01 00:00:00,2025-02-01 00:00:00,476.8780047104005,2.8278966757510466,26.457224178835848,503.33522888923636,2.8278966757510466,2,0.7,equal_initial,7268.4231640740745,500.5073322134853,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,9,2025-02-01 00:00:00,2025-02-01 00:00:00,456.92792090405095,2.941560689388316,26.457224178835848,483.3851450828868,2.941560689388316,2,0.7,equal_initial,7268.4231640740745,480.4435843934985,0.0,0.0,10050.0,10050.0,0.0,0.0
2025-02-01,10,2025-02-01 00:00:00,2025-02-01 00:00:00,486.37817986200923,2.8930199532897416,26.457224178835848,512.8354040408451,2.8930199532897416,2,0.7,equal_initial,7268.4231640740745,509.94238408755535,0.0,0.0,10050.0,10050.0,0.0,0.0
