date,interval_start,interval_end,emergency_kwh,ten_minute_intervals
2025-02-01,2025-02-01 20:40:00,2025-02-01 20:50:00,55.34420707452557,1
2025-02-01,2025-02-01 21:10:00,2025-02-01 21:40:00,27.96047818886759,3
2025-02-02,2025-02-02 20:30:00,2025-02-02 20:40:00,164.77252824356572,1
2025-02-03,2025-02-03 20:30:00,2025-02-03 20:40:00,516.3713980510875,1
2025-02-04,2025-02-04 20:30:00,2025-02-04 20:50:00,43.15123681178363,2
2025-02-05,2025-02-05 20:30:00,2025-02-05 20:40:00,546.6503496225079,1
2025-02-06,2025-02-06 20:30:00,2025-02-06 20:40:00,27.81403469210227,1
2025-02-06,2025-02-06 21:10:00,2025-02-06 21:20:00,21.086153844159707,1
2025-02-07,2025-02-07 20:40:00,2025-02-07 21:10:00,99.65111488491675,3
2025-02-07,2025-02-07 21:30:00,2025-02-07 21:50:00,92.13310613148968,2
2025-02-08,2025-02-08 20:40:00,2025-02-08 20:50:00,453.0185973621342,1
2025-02-08,2025-02-08 21:30:00,2025-02-08 21:40:00,199.58731534232948,1
2025-02-09,2025-02-09 06:00:00,2025-02-09 06:10:00,35.33936666666659,1
2025-02-09,2025-02-09 10:20:00,2025-02-09 10:50:00,471.8905693902375,3
2025-02-09,2025-02-09 20:10:00,2025-02-09 21:10:00,1846.1832908324527,6
2025-02-09,2025-02-09 21:20:00,2025-02-09 21:40:00,43.26267795729698,2
2025-02-10,2025-02-10 06:00:00,2025-02-10 06:10:00,21.504783333333307,1
2025-02-10,2025-02-10 20:30:00,2025-02-10 21:00:00,338.38810129610084,3
2025-02-10,2025-02-10 21:20:00,2025-02-10 21:50:00,67.14473420952204,3
2025-02-11,2025-02-11 06:00:00,2025-02-11 06:10:00,50.592029297505746,1
2025-02-11,2025-02-11 20:30:00,2025-02-11 21:40:00,808.4742146052084,7
2025-02-12,2025-02-12 06:00:00,2025-02-12 06:10:00,34.22442430961155,1
2025-02-12,2025-02-12 20:30:00,2025-02-12 21:50:00,710.8487382669651,8
2025-02-13,2025-02-13 05:50:00,2025-02-13 06:10:00,10.813058021910933,2
2025-02-13,2025-02-13 20:30:00,2025-02-13 21:10:00,470.47251990111846,4
2025-02-13,2025-02-13 21:30:00,2025-02-13 21:50:00,20.120250546268267,2
2025-02-14,2025-02-14 07:30:00,2025-02-14 08:30:00,742.0361842874129,6
2025-02-14,2025-02-14 20:40:00,2025-02-14 20:50:00,435.9357852303529,1
2025-02-14,2025-02-14 21:20:00,2025-02-14 21:40:00,258.8415773147678,2
2025-02-15,2025-02-15 07:30:00,2025-02-15 08:20:00,662.7289191499028,5
2025-02-15,2025-02-15 20:30:00,2025-02-15 21:50:00,926.6159308363896,8
2025-02-16,2025-02-16 05:50:00,2025-02-16 06:10:00,91.1114666666665,2
2025-02-16,2025-02-16 10:30:00,2025-02-16 10:50:00,258.63069272349384,2
