issue_time,horizon_h,pv_forecast_kw,target_time,source_row,source_column,raw_date_label,raw_issue_label,date_was_filled
2025-01-01T00:00:00,1,0.0,2025-01-01T01:00:00,2,C,2025-1-1,0:00,False
2025-01-01T00:00:00,2,0.0,2025-01-01T02:00:00,2,D,2025-1-1,0:00,False
2025-01-01T00:00:00,3,0.0,2025-01-01T03:00:00,2,E,2025-1-1,0:00,False
2025-01-01T00:00:00,4,0.0,2025-01-01T04:00:00,2,F,2025-1-1,0:00,False
2025-01-01T00:00:00,5,0.0,2025-01-01T05:00:00,2,G,2025-1-1,0:00,False
2025-01-01T00:00:00,6,0.0,2025-01-01T06:00:00,2,H,2025-1-1,0:00,False
2025-01-01T00:00:00,7,3.1173,2025-01-01T07:00:00,2,I,2025-1-1,0:00,False
2025-01-01T00:00:00,8,1603.3305,2025-01-01T08:00:00,2,J,2025-1-1,0:00,False
2025-01-01T00:00:00,9,3409.0929,2025-01-01T09:00:00,2,K,2025-1-1,0:00,False
2025-01-01T00:00:00,10,4871.2875,2025-01-01T10:00:00,2,L,2025-1-1,0:00,False
2025-01-01T00:00:00,11,5785.111,2025-01-01T11:00:00,2,M,2025-1-1,0:00,False
2025-01-01T00:00:00,12,5737.1717,2025-01-01T12:00:00,2,N,2025-1-1,0:00,False
2025-01-01T00:00:00,13,6047.3964,2025-01-01T13:00:00,2,O,2025-1-1,0:00,False
2025-01-01T00:00:00,14,4687.1165,2025-01-01T14:00:00,2,P,2025-1-1,0:00,False
2025-01-01T00:00:00,15,3572.6529,2025-01-01T15:00:00,2,Q,2025-1-1,0:00,False
2025-01-01T00:00:00,16,1629.9964,2025-01-01T16:00:00,2,R,2025-1-1,0:00,False
2025-01-01T00:00:00,17,3.1956,2025-01-01T17:00:00,2,S,2025-1-1,0:00,False
2025-01-01T00:00:00,18,0.0,2025-01-01T18:00:00,2,T,2025-1-1,0:00,False
2025-01-01T00:00:00,19,0.0,2025-01-01T19:00:00,2,U,2025-1-1,0:00,False
2025-01-01T00:00:00,20,0.0,2025-01-01T20:00:00,2,V,2025-1-1,0:00,False
2025-01-01T00:00:00,21,0.0,2025-01-01T21:00:00,2,W,2025-1-1,0:00,False
2025-01-01T00:00:00,22,0.0,2025-01-01T22:00:00,2,X,2025-1-1,0:00,False
2025-01-01T00:00:00,23,0.0,2025-01-01T23:00:00,2,Y,2025-1-1,0:00,False
2025-01-01T00:00:00,24,0.0,2025-01-02T00:00:00,2,Z,2025-1-1,0:00,False
2025-01-01T06:00:00,1,3.0919,2025-01-01T07:00:00,3,C,,6:00,True
2025-01-01T06:00:00,2,1588.7839,2025-01-01T08:00:00,3,D,,6:00,True
2025-01-01T06:00:00,3,3297.9893,2025-01-01T09:00:00,3,E,,6:00,True
2025-01-01T06:00:00,4,4692.2274,2025-01-01T10:00:00,3,F,,6:00,True
2025-01-01T06:00:00,5,5220.3894,2025-01-01T11:00:00,3,G,,6:00,True
2025-01-01T06:00:00,6,5078.6992,2025-01-01T12:00:00,3,H,,6:00,True
2025-01-01T06:00:00,7,5314.2003,2025-01-01T13:00:00,3,I,,6:00,True
