date,slot_id,interval_end,interval_start,load_actual_kwh,pv_actual_kwh,available_time,issue_time,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-01,1,2025-01-01 00:10:00,2025-01-01 00:00:00,588.2882666666667,0.0,2025-01-01T00:10:00,2025-01-01 00:00:00,0.4248,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,588.2882666666667,0.0,0.0,0.0,0.0,6000.0,5346.34637037037,0.0,0.0,0.0
2025-01-01,2,2025-01-01 00:20:00,2025-01-01 00:10:00,601.5881166666667,0.0,2025-01-01T00:20:00,2025-01-01 00:00:00,0.4245,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,601.5881166666667,0.0,0.0,0.0,0.0,5346.34637037037,4677.9151296296295,0.0,0.0,0.0
2025-01-01,3,2025-01-01 00:30:00,2025-01-01 00:20:00,621.0933333333334,0.0,2025-01-01T00:30:00,2025-01-01 00:00:00,0.4269,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,621.0933333333334,0.0,0.0,0.0,0.0,4677.9151296296295,3987.811425925926,0.0,0.0,0.0
2025-01-01,4,2025-01-01 00:40:00,2025-01-01 00:30:00,585.1051833333333,0.0,2025-01-01T00:40:00,2025-01-01 00:00:00,0.4272,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,585.1051833333333,0.0,0.0,0.0,0.0,3987.811425925926,3337.694555555556,0.0,0.0,0.0
2025-01-01,5,2025-01-01 00:50:00,2025-01-01 00:40:00,583.7604166666666,0.0,2025-01-01T00:50:00,2025-01-01 00:00:00,0.4271,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,583.7604166666666,0.0,0.0,0.0,0.0,3337.694555555556,2689.0718703703706,0.0,0.0,0.0
2025-01-01,6,2025-01-01 01:00:00,2025-01-01 00:50:00,631.1683333333334,0.0,2025-01-01T01:00:00,2025-01-01 00:00:00,0.4285,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,631.1683333333334,0.0,0.0,0.0,0.0,2689.0718703703706,1987.7737222222222,0.0,0.0,0.0
2025-01-01,7,2025-01-01 01:10:00,2025-01-01 01:00:00,650.0534166666666,0.0,2025-01-01T01:10:00,2025-01-01 00:00:00,0.4311,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,650.0534166666666,0.0,0.0,0.0,0.0,1987.7737222222222,1265.4921481481483,0.0,0.0,0.0
2025-01-01,8,2025-01-01 01:20:00,2025-01-01 01:10:00,652.8062666666666,0.0,2025-01-01T01:20:00,2025-01-01 00:00:00,0.4302,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,58.942933333333485,593.8633333333331,0.0,0.0,0.0,1265.4921481481483,1200.0,0.0,1277.4000299999998,1277.4000299999998
2025-01-01,9,2025-01-01 01:30:00,2025-01-01 01:20:00,636.2133333333334,0.0,2025-01-01T01:30:00,2025-01-01 00:00:00,0.4279,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,636.2133333333334,0.0,0.0,0.0,1200.0,1200.0,0.0,1361.1784266666666,1361.1784266666666
2025-01-01,10,2025-01-01 01:40:00,2025-01-01 01:30:00,588.8356,0.0,2025-01-01T01:40:00,2025-01-01 00:00:00,0.4312,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,588.8356,0.0,0.0,0.0,1200.0,1200.0,0.0,1269.5295536,1269.5295536
2025-01-01,11,2025-01-01 01:50:00,2025-01-01 01:40:00,615.7768833333333,0.0,2025-01-01T01:50:00,2025-01-01 00:00:00,0.4333,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,615.7768833333333,0.0,0.0,0.0,1200.0,1200.0,0.0,1334.0806177416666,1334.0806177416666
2025-01-01,12,2025-01-01 02:00:00,2025-01-01 01:50:00,677.455,0.0,2025-01-01T02:00:00,2025-01-01 00:00:00,0.4311,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,677.455,0.0,0.0,0.0,1200.0,1200.0,0.0,1460.2542525000001,1460.2542525000001
2025-01-01,13,2025-01-01 02:10:00,2025-01-01 02:00:00,635.1118333333333,0.0,2025-01-01T02:10:00,2025-01-01 00:00:00,0.4293,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,635.1118333333333,0.0,0.0,0.0,1200.0,1200.0,0.0,1363.2675502499999,1363.2675502499999
2025-01-01,14,2025-01-01 02:20:00,2025-01-01 02:10:00,640.8249166666667,0.0,2025-01-01T02:20:00,2025-01-01 00:00:00,0.4324,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,640.8249166666667,0.0,0.0,0.0,1200.0,1200.0,0.0,1385.4634698333334,1385.4634698333334
2025-01-01,15,2025-01-01 02:30:00,2025-01-01 02:20:00,705.77,0.0,2025-01-01T02:30:00,2025-01-01 00:00:00,0.4367,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,705.77,0.0,0.0,0.0,1200.0,1200.0,0.0,1541.048795,1541.048795
2025-01-01,16,2025-01-01 02:40:00,2025-01-01 02:30:00,684.9959166666666,0.0,2025-01-01T02:40:00,2025-01-01 00:00:00,0.4348,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,684.9959166666666,0.0,0.0,0.0,1200.0,1200.0,0.0,1489.1811228333331,1489.1811228333331
2025-01-01,17,2025-01-01 02:50:00,2025-01-01 02:40:00,666.1490833333334,0.0,2025-01-01T02:50:00,2025-01-01 00:00:00,0.4335,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,666.1490833333334,0.0,0.0,0.0,1200.0,1200.0,0.0,1443.878138125,1443.878138125
2025-01-01,18,2025-01-01 03:00:00,2025-01-01 02:50:00,683.6983333333333,0.0,2025-01-01T03:00:00,2025-01-01 00:00:00,0.4357,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,683.6983333333333,0.0,0.0,0.0,1200.0,1200.0,0.0,1489.4368191666663,1489.4368191666663
2025-01-01,19,2025-01-01 03:10:00,2025-01-01 03:00:00,681.0096166666666,0.0,2025-01-01T03:10:00,2025-01-01 00:00:00,0.4374,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,681.0096166666666,0.0,0.0,0.0,1200.0,1200.0,0.0,1489.3680316500001,1489.3680316500001
2025-01-01,20,2025-01-01 03:20:00,2025-01-01 03:10:00,688.9604333333333,0.0,2025-01-01T03:20:00,2025-01-01 00:00:00,0.4371,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,688.9604333333333,0.0,0.0,0.0,1200.0,1200.0,0.0,1505.7230270499997,1505.7230270499997
2025-01-01,21,2025-01-01 03:30:00,2025-01-01 03:20:00,696.5300000000001,0.0,2025-01-01T03:30:00,2025-01-01 00:00:00,0.4356,,,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,696.5300000000001,0.0,0.0,0.0,1200.0,1200.0,0.0,1517.0423400000002,1517.0423400000002
