date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,8152.99156301816,145.3193832186272
2025-03-20,4,1962.422799108656,5521.544937320559
2025-03-20,8,6235.539697499536,2777.3772166666668
2025-03-20,12,4121.794472061754,419.4472367223657
2025-03-20,16,254.74510488582007,5632.458554120215
2025-03-20,20,509.22513905731483,2987.461148728772
2025-06-21,0,1059.5799762628678,103.72116806587661
2025-06-21,4,1312.2468786310167,1781.5354295237896
2025-06-21,8,9323.198323849687,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,167.6685327467801,5402.215995577709
2025-06-21,20,1246.6407912032823,2498.6148714005785
2025-09-23,0,9220.350415305711,19.566621578522927
2025-09-23,4,1483.637878848631,6357.842405143654
2025-09-23,8,5181.402669484554,1896.6157166666667
2025-09-23,12,5167.794702787714,588.6673885243296
2025-09-23,16,117.90733430063403,5952.233735645005
2025-09-23,20,617.6560730999184,2465.3162386056306
2025-12-21,0,9021.757791291786,57.774168698042786
2025-12-21,4,1904.3888978777234,1424.109863507474
2025-12-21,8,5822.837524405264,7159.486861358375
2025-12-21,12,6775.840085304586,2235.318644622527
2025-12-21,16,116.35053681639117,5665.735220251777
2025-12-21,20,819.1483559940766,2842.5257666666666
