date,slot_id,load_actual_kw,interval_end,interval_start,load_raw_time_label,load_source_row,load_source_column,pv_actual_kw,pv_raw_time_label,pv_source_row,pv_source_column,actual_price_yuan_per_kwh,price_raw_time_label,price_source_row,price_source_column,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kw,net_load_actual_kwh,available_time,issue_time,history_end,load_forecast_kwh,pv_forecast_kwh,net_residual_kwh,residual_available_time
2025-01-02,1,3622.5509,2025-01-02T00:10:00,2025-01-02T00:00:00,00:10:00,3,B,0.0,00:10:00,3,B,0.3809,00:10:00,3,B,0.4248,603.7584833333334,0.0,3622.5509,603.7584833333334,2025-01-02T00:10:00,2025-01-02 00:00:00,2025-01-02 00:00:00,588.2882666666667,0.0,15.470216666666715,2025-01-03 00:00:00
2025-01-02,2,3622.7611000000006,2025-01-02T00:20:00,2025-01-02T00:10:00,00:20:00,3,C,0.0,00:20:00,3,C,0.3964,00:20:00,3,C,0.4245,603.7935166666667,0.0,3622.7611,603.7935166666667,2025-01-02T00:20:00,2025-01-02 00:00:00,2025-01-02 00:00:00,601.5881166666667,0.0,2.205400000000054,2025-01-03 00:00:00
2025-01-02,3,3708.2299999999996,2025-01-02T00:30:00,2025-01-02T00:20:00,00:30:00,3,D,0.0,00:30:00,3,D,0.4654,00:30:00,3,D,0.4269,618.0383333333333,0.0,3708.23,618.0383333333333,2025-01-02T00:30:00,2025-01-02 00:00:00,2025-01-02 00:00:00,621.0933333333334,0.0,-3.0550000000000637,2025-01-03 00:00:00
2025-01-02,4,3750.5226,2025-01-02T00:40:00,2025-01-02T00:30:00,00:40:00,3,E,0.0,00:40:00,3,E,0.4542,00:40:00,3,E,0.4272,625.0871,0.0,3750.5226,625.0871,2025-01-02T00:40:00,2025-01-02 00:00:00,2025-01-02 00:00:00,585.1051833333333,0.0,39.98191666666662,2025-01-03 00:00:00
2025-01-02,5,3684.9038,2025-01-02T00:50:00,2025-01-02T00:40:00,00:50:00,3,F,0.0,00:50:00,3,F,0.4299,00:50:00,3,F,0.4271,614.1506333333333,0.0,3684.9038,614.1506333333333,2025-01-02T00:50:00,2025-01-02 00:00:00,2025-01-02 00:00:00,583.7604166666666,0.0,30.390216666666674,2025-01-03 00:00:00
2025-01-02,6,3644.1400000000003,2025-01-02T01:00:00,2025-01-02T00:50:00,01:00:00,3,G,0.0,01:00:00,3,G,0.4477,01:00:00,3,G,0.4285,607.3566666666667,0.0,3644.14,607.3566666666667,2025-01-02T01:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,631.1683333333334,0.0,-23.811666666666724,2025-01-03 00:00:00
2025-01-02,7,3809.298,2025-01-02T01:10:00,2025-01-02T01:00:00,01:10:00,3,H,0.0,01:10:00,3,H,0.4859,01:10:00,3,H,0.4311,634.8829999999999,0.0,3809.298,634.8829999999999,2025-01-02T01:10:00,2025-01-02 00:00:00,2025-01-02 00:00:00,650.0534166666666,0.0,-15.17041666666671,2025-01-03 00:00:00
2025-01-02,8,3855.1226,2025-01-02T01:20:00,2025-01-02T01:10:00,01:20:00,3,I,0.0,01:20:00,3,I,0.4752,01:20:00,3,I,0.4302,642.5204333333334,0.0,3855.1226,642.5204333333334,2025-01-02T01:20:00,2025-01-02 00:00:00,2025-01-02 00:00:00,652.8062666666666,0.0,-10.285833333333244,2025-01-03 00:00:00
2025-01-02,9,3783.7799999999997,2025-01-02T01:30:00,2025-01-02T01:20:00,01:30:00,3,J,0.0,01:30:00,3,J,0.4348,01:30:00,3,J,0.4279,630.63,0.0,3783.78,630.63,2025-01-02T01:30:00,2025-01-02 00:00:00,2025-01-02 00:00:00,636.2133333333334,0.0,-5.583333333333371,2025-01-03 00:00:00
2025-01-02,10,3907.3849,2025-01-02T01:40:00,2025-01-02T01:30:00,01:40:00,3,K,0.0,01:40:00,3,K,0.4513,01:40:00,3,K,0.4312,651.2308166666667,0.0,3907.3849,651.2308166666667,2025-01-02T01:40:00,2025-01-02 00:00:00,2025-01-02 00:00:00,588.8356,0.0,62.39521666666667,2025-01-03 00:00:00
2025-01-02,11,3968.2398,2025-01-02T01:50:00,2025-01-02T01:40:00,01:50:00,3,L,0.0,01:50:00,3,L,0.4853,01:50:00,3,L,0.4333,661.3733,0.0,3968.2398,661.3733,2025-01-02T01:50:00,2025-01-02 00:00:00,2025-01-02 00:00:00,615.7768833333333,0.0,45.59641666666664,2025-01-03 00:00:00
2025-01-02,12,3886.7699999999995,2025-01-02T02:00:00,2025-01-02T01:50:00,02:00:00,3,M,0.0,02:00:00,3,M,0.4864,02:00:00,3,M,0.4311,647.795,0.0,3886.77,647.795,2025-01-02T02:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,677.455,0.0,-29.660000000000082,2025-01-03 00:00:00
2025-01-02,13,3865.3900999999996,2025-01-02T02:10:00,2025-01-02T02:00:00,02:10:00,3,N,0.0,02:10:00,3,N,0.4444,02:10:00,3,N,0.4293,644.2316833333333,0.0,3865.3901,644.2316833333333,2025-01-02T02:10:00,2025-01-02 00:00:00,2025-01-02 00:00:00,635.1118333333333,0.0,9.119850000000042,2025-01-03 00:00:00
2025-01-02,14,3931.6861,2025-01-02T02:20:00,2025-01-02T02:10:00,02:20:00,3,O,0.0,02:20:00,3,O,0.4217,02:20:00,3,O,0.4324,655.2810166666667,0.0,3931.6861,655.2810166666667,2025-01-02T02:20:00,2025-01-02 00:00:00,2025-01-02 00:00:00,640.8249166666667,0.0,14.456099999999992,2025-01-03 00:00:00
2025-01-02,15,4055.98,2025-01-02T02:30:00,2025-01-02T02:20:00,02:30:00,3,P,0.0,02:30:00,3,P,0.4443,02:30:00,3,P,0.4367,675.9966666666667,0.0,4055.98,675.9966666666667,2025-01-02T02:30:00,2025-01-02 00:00:00,2025-01-02 00:00:00,705.77,0.0,-29.773333333333312,2025-01-03 00:00:00
2025-01-02,16,4164.982,2025-01-02T02:40:00,2025-01-02T02:30:00,02:40:00,3,Q,0.0,02:40:00,3,Q,0.4757,02:40:00,3,Q,0.4348,694.1636666666667,0.0,4164.982,694.1636666666667,2025-01-02T02:40:00,2025-01-02 00:00:00,2025-01-02 00:00:00,684.9959166666666,0.0,9.16775000000007,2025-01-03 00:00:00
