date,slot_id,interval_end,interval_start,load_actual_kwh,pv_actual_kwh,available_time,issue_time,forecast_history_end,dispatch_time,decision_input_cutoff,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,plan_load_kwh,plan_pv_kwh,risk_delta_kwh,reserve_internal_kwh,risk_history_start,risk_history_end,risk_sample_count,risk_history_days,risk_cold_start,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,1,2025-02-01T00:10:00,2025-02-01T00:00:00,422.0303666666667,0.0,2025-02-01T00:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T00:10:00,2025-02-01T00:10:00,0.4248,454.32543333333336,0.0,454.32543333333336,0.0,0.0,0.0,,,0,0,False,1287.6587666666667,833.3333333333333,0.0,7268.4231640740745,8058.9925791161695,0.0,1.0,833.3333333333334,0.0,0.0,32.295066666666685,32.295066666666685,0.0,7268.4231640740745,8058.9925791161695,546.99744408,0.0,546.99744408
2025-02-01,2,2025-02-01T00:20:00,2025-02-01T00:10:00,415.4073166666667,0.0,2025-02-01T00:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T00:20:00,2025-02-01T00:20:00,0.4245,446.6726833333333,0.0,446.6726833333333,0.0,0.0,0.0,,,0,0,False,1280.0060166666665,833.3333333333333,0.0,8058.9925791161695,8849.561994158264,0.0,1.0,833.3333333333334,0.0,0.0,31.26536666666641,31.26536666666641,0.0,8058.9925791161695,8849.561994158264,543.3625540749999,0.0,543.3625540749999
2025-02-01,3,2025-02-01T00:30:00,2025-02-01T00:20:00,410.7166666666667,0.0,2025-02-01T00:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T00:30:00,2025-02-01T00:30:00,0.4269,443.3066666666667,0.0,443.3066666666667,0.0,0.0,0.0,,,0,0,False,1276.6399999999999,833.3333333333333,0.0,8849.561994158264,9640.13140920036,0.0,1.0,833.3333333333334,0.0,0.0,32.589999999999804,32.589999999999804,0.0,8849.561994158264,9640.13140920036,544.997616,0.0,544.997616
2025-02-01,4,2025-02-01T00:40:00,2025-02-01T00:30:00,430.29479999999995,0.0,2025-02-01T00:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T00:40:00,2025-02-01T00:40:00,0.4272,476.9869166666667,0.0,476.9869166666667,0.0,0.0,0.0,,,0,0,False,476.9869166666667,0.0,0.0,9640.13140920036,9640.13140920036,0.0,0.0,46.69211666666672,0.0,0.0,0.0,0.0,0.0,9640.13140920036,9684.427440432652,203.7688108,0.0,203.7688108
2025-02-01,5,2025-02-01T00:50:00,2025-02-01T00:40:00,424.4105833333333,0.0,2025-02-01T00:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T00:50:00,2025-02-01T00:50:00,0.4271,484.26815000000005,0.0,484.26815000000005,0.0,0.0,0.0,,,0,0,False,873.5436611388941,389.27551113889405,0.0,9640.13140920036,10009.430584957905,0.0,1.0,449.1330778055608,0.0,0.0,0.0,0.0,0.0,9684.427440432652,10110.51248994881,373.09049767242163,0.0,373.09049767242163
2025-02-01,6,2025-02-01T01:00:00,2025-02-01T00:50:00,406.0516666666667,0.0,2025-02-01T01:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T01:00:00,2025-02-01T01:00:00,0.4285,468.2083333333333,0.0,468.2083333333333,0.0,0.0,0.0,,,0,0,False,468.2083333333333,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,62.15666666666664,0.0,0.0,0.0,0.0,0.0,10110.51248994881,10169.479481477969,200.6272708333333,0.0,200.6272708333333
2025-02-01,7,2025-02-01T01:10:00,2025-02-01T01:00:00,436.7501833333333,0.0,2025-02-01T01:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T01:10:00,2025-02-01T01:10:00,0.4311,490.43896666666666,0.0,490.43896666666666,0.0,0.0,0.0,,,0,0,False,490.43896666666666,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,53.68878333333333,0.0,0.0,0.0,0.0,0.0,10169.479481477969,10220.413133518956,211.42823853,0.0,211.42823853
2025-02-01,8,2025-02-01T01:20:00,2025-02-01T01:10:00,451.7976833333333,0.0,2025-02-01T01:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T01:20:00,2025-02-01T01:20:00,0.4302,487.2113166666666,0.0,487.2113166666666,0.0,0.0,0.0,,,0,0,False,487.2113166666666,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,35.41363333333334,0.0,0.0,0.0,0.0,0.0,10220.413133518956,10254.009455985573,209.59830843,0.0,209.59830843
2025-02-01,9,2025-02-01T01:30:00,2025-02-01T01:20:00,446.08,0.0,2025-02-01T01:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T01:30:00,2025-02-01T01:30:00,0.4279,464.605,0.0,464.605,0.0,0.0,0.0,,,0,0,False,464.605,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,18.525000000000034,0.0,0.0,0.0,0.0,0.0,10254.009455985573,10271.58381408196,198.8044795,0.0,198.8044795
2025-02-01,10,2025-02-01T01:40:00,2025-02-01T01:30:00,471.7663333333333,0.0,2025-02-01T01:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T01:40:00,2025-02-01T01:40:00,0.4312,494.2724,0.0,494.2724,0.0,0.0,0.0,,,0,0,False,494.2724,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,22.506066666666698,0.0,0.0,0.0,0.0,0.0,10271.58381408196,10292.934943633438,213.13025888,0.0,213.13025888
2025-02-01,11,2025-02-01T01:50:00,2025-02-01T01:40:00,448.02596666666665,0.0,2025-02-01T01:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T01:50:00,2025-02-01T01:50:00,0.4333,505.68945,0.0,505.68945,0.0,0.0,0.0,,,0,0,False,505.68945,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,57.663483333333375,0.0,0.0,0.0,0.0,0.0,10292.934943633438,10347.639327179186,219.115238685,0.0,219.115238685
2025-02-01,12,2025-02-01T02:00:00,2025-02-01T01:50:00,397.40333333333336,0.0,2025-02-01T02:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T02:00:00,2025-02-01T02:00:00,0.4311,487.83666666666664,0.0,487.83666666666664,0.0,0.0,0.0,,,0,0,False,487.83666666666664,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,90.43333333333328,0.0,0.0,0.0,0.0,0.0,10347.639327179186,10433.431920099554,210.30638699999997,0.0,210.30638699999997
2025-02-01,13,2025-02-01T02:10:00,2025-02-01T02:00:00,434.0906333333333,0.0,2025-02-01T02:10:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T02:10:00,2025-02-01T02:10:00,0.4293,501.9057666666667,0.0,501.9057666666667,0.0,0.0,0.0,,,0,0,False,501.9057666666667,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,67.81513333333339,0.0,0.0,0.0,0.0,0.0,10433.431920099554,10497.767004447956,215.46814563,0.0,215.46814563
2025-02-01,14,2025-02-01T02:20:00,2025-02-01T02:10:00,490.5609166666666,0.0,2025-02-01T02:20:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T02:20:00,2025-02-01T02:20:00,0.4324,514.9269333333333,0.0,514.9269333333333,0.0,0.0,0.0,,,0,0,False,514.9269333333333,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,24.366016666666667,0.0,0.0,0.0,0.0,0.0,10497.767004447956,10520.882637499644,222.65440597333333,0.0,222.65440597333333
2025-02-01,15,2025-02-01T02:30:00,2025-02-01T02:20:00,503.22,0.0,2025-02-01T02:30:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T02:30:00,2025-02-01T02:30:00,0.4367,507.54333333333335,0.0,507.54333333333335,0.0,0.0,0.0,,,0,0,False,507.54333333333335,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,4.3233333333333235,0.0,0.0,0.0,0.0,0.0,10520.882637499644,10524.984111624883,221.64417366666666,0.0,221.64417366666666
2025-02-01,16,2025-02-01T02:40:00,2025-02-01T02:30:00,474.0728166666667,0.0,2025-02-01T02:40:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T02:40:00,2025-02-01T02:40:00,0.4348,497.95935000000003,0.0,497.95935000000003,0.0,0.0,0.0,,,0,0,False,497.95935000000003,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,23.88653333333332,0.0,0.0,0.0,0.0,0.0,10524.984111624883,10547.644866846544,216.51272538000003,0.0,216.51272538000003
2025-02-01,17,2025-02-01T02:50:00,2025-02-01T02:40:00,461.38439999999997,0.0,2025-02-01T02:50:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01T02:50:00,2025-02-01T02:50:00,0.4335,501.06135,0.0,501.06135,0.0,0.0,0.0,,,0,0,False,501.06135,0.0,0.0,10009.430584957905,10009.430584957905,0.0,0.0,39.67695000000003,0.0,0.0,0.0,0.0,0.0,10547.644866846544,10585.285726629128,217.210095225,0.0,217.210095225
