date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_tau,selected_terminal
2025-02-01,38746.43130586164,20795.620290031104,0.0,0.0,20795.620290031104,13012.658027946714,14999.33485401695,6354.932198598542,2583.5976985985412,3771.3345,7268.4231640740745,2313.8877736517325,0.7,1200.0
2025-02-02,90432.82457488368,57298.30159377861,0.0,0.0,57298.30159377861,22007.773513830696,17702.267151479347,7771.040262532335,7711.8661958656685,59.174066666666704,2313.8877736517325,2451.698212233418,0.7,1200.0
2025-02-03,88343.39387966238,55928.36387021499,0.0,0.0,55928.36387021499,22445.239889969867,18477.201180638687,4158.438670331199,4158.438670331199,0.0,2451.698212233418,2122.1905791633203,0.7,1200.0
2025-02-04,91424.05594851486,58028.68344968599,0.0,0.0,58028.68344968599,23520.015158270446,18782.82763912551,5492.004479369914,5492.004479369914,0.0,2122.1905791633203,2420.3957336894955,0.8,1200.0
2025-02-05,89408.55363283842,56613.526417840585,0.0,0.0,56613.526417840585,22927.91990698442,18834.173006338173,4566.379748858835,4566.379748858835,0.0,2420.3957336894955,2128.6647540441736,0.8,1200.0
2025-02-06,90771.02575218819,57770.542169822824,6.410854759157814,37.44900807562037,57807.99117789844,22278.187325085466,17905.879334209123,6134.071399404343,6132.670582737675,1.400816666666742,2128.6647540441736,2283.611864166518,0.8,1200.0
2025-02-07,41880.24120826146,21897.346811696218,0.0,0.0,21897.346811696218,18918.7454688369,16034.398737384305,7190.2148101422,2494.905400059894,4695.309410082306,2283.611864166518,1494.4841890260611,0.7,1200.0
2025-02-08,37918.24226268957,19716.719923023342,57.273818969003514,350.1148553575185,20066.83477838086,19460.60011675577,15516.732115217705,2454.4853634538426,383.629949170582,2070.8554142832604,1494.4841890260611,1768.2108327532446,0.7,equal_initial
2025-02-09,85170.37449399842,53351.53849381944,11.61712559737066,81.04106816725772,53432.5795619867,24245.986806541856,19841.348350607346,1221.9371969946048,1221.9371969946048,0.0,1768.2108327532446,1543.6563468549718,0.8,1200.0
2025-02-10,86996.2192871192,54777.448199189144,0.0,0.0,54777.448199189144,20826.018912626496,16835.457784062688,8679.020575222052,8179.357541888718,499.6630333333334,1543.6563468549718,1581.0091637047221,0.8,1200.0
2025-02-11,84992.24546711663,53244.41824446088,0.0,0.0,53244.41824446088,22566.025988792917,18320.122981045566,5525.745326035949,5346.90211468264,178.8432113533088,1581.0091637047221,1534.740352456612,0.8,1200.0
2025-02-12,84628.5750352241,53026.27534195866,0.0,0.0,53026.27534195866,22407.217893438105,18085.471933275774,5040.092941728436,4876.708658395103,163.38428333333331,1534.740352456612,1606.2676418000447,0.8,1200.0
2025-02-13,83862.30526009864,52550.98027172883,0.0,0.0,52550.98027172883,20036.6156380149,16157.24834867775,8653.458954094825,8094.821170761492,558.6377833333339,1606.2676418000447,1686.7235508159565,0.8,1200.0
2025-02-14,35180.98103862187,18521.548869148017,301.55673576740577,1438.5503539968845,19960.0992231449,18209.115338301028,15187.434619758196,2659.0552391797755,518.4215891797769,2140.6336499999984,1686.7235508159565,1200.0,0.7,1200.0
2025-02-15,35391.695426428065,18475.50543662176,347.23809903527473,1120.967489085129,19596.472925706887,18569.198734332378,15041.050974809224,2930.6946659401915,241.55879927352518,2689.135866666666,1200.0,1200.0,0.7,equal_initial
2025-02-16,81832.61029778955,50745.31649003101,51.84298032315712,235.85963898020333,50981.17612901121,23835.835925143645,18957.39543061303,1628.6336835820862,1628.6336835820862,0.0,1200.0,1588.4796319481381,0.8,equal_initial
2025-02-17,80665.51186923742,50049.21237522818,18.91428938728461,86.05055956745134,50135.26293479563,20666.079012685186,16811.741452658953,5646.225431931812,4851.744231931811,794.4812000000005,1588.4796319481381,1508.2380181881929,0.8,1200.0
