policy,baseline,block_days,saving_yuan,ci95_low_yuan,ci95_high_yuan,seed,replicates
P_floor,B0,7,2310844.794352103,1698621.3276457454,2966041.7405049177,20260912,2000
P_floor,B0,14,2310844.794352103,1609656.2003449735,3010541.445948151,20260912,2000
P_floor,B1,7,1355368.7522946626,867194.7836775471,1947793.5392849229,20260912,2000
P_floor,B1,14,1355368.7522946626,804840.5463885547,1988447.0910069873,20260912,2000
P_floor,P,7,186671.24685498374,145090.86943313465,230132.7709834718,20260912,2000
P_floor,P,14,186671.24685498374,144156.26522465906,231451.20672471085,20260912,2000
P_floor,P_terminal,7,12790.19495111595,-4041.224907118919,28068.458324452975,20260912,2000
P_floor,P_terminal,14,12790.19495111595,-3304.6824232181884,27916.367865718337,20260912,2000
S_terminal,B0,7,2312005.5804921077,1691277.397667734,2955573.580925308,20260912,2000
S_terminal,B0,14,2312005.5804921077,1609379.4588920716,3062799.649778082,20260912,2000
S_terminal,B1,7,1356529.5384346675,854023.1735820274,2000561.536170319,20260912,2000
S_terminal,B1,14,1356529.5384346675,805784.7579974282,1969070.7787584693,20260912,2000
S_terminal,P,7,187832.03299498867,147198.3881680997,231530.25865990893,20260912,2000
S_terminal,P,14,187832.03299498867,146517.77948164707,235182.1273677343,20260912,2000
S_terminal,P_terminal,7,13950.981091120917,-3048.5446350946613,28140.275670159415,20260912,2000
S_terminal,P_terminal,14,13950.981091120917,-2171.502063662128,28994.188073303576,20260912,2000
S_terminal,P_floor,7,1160.7861400049678,39.32930243785554,2616.9319485405344,20260912,2000
S_terminal,P_floor,14,1160.7861400049678,147.34520762462373,2545.896279264909,20260912,2000
