date,B0,B1,P,P_terminal,S_tau,S_terminal,S_joint,S_w14,S_w56,S_no_inventory,P_floor,P_B1,P_B1_floor,S_joint_saving_vs_B0,S_joint_saving_vs_B1,S_joint_saving_vs_P,S_joint_saving_vs_P_terminal,S_joint_saving_vs_P_floor,P_B1_floor_saving_vs_B0,P_B1_floor_saving_vs_B1,P_B1_floor_saving_vs_P,P_B1_floor_saving_vs_P_terminal,P_B1_floor_saving_vs_P_floor
2025-02-01,22081.924410003714,22259.88302372364,24831.95558946708,24234.379740707285,23610.27947212423,22017.296407373953,20795.620290031104,20795.620290031104,20795.620290031104,20795.620290031104,22017.296407373953,25434.67841635632,22620.019234263196,1286.3041199726104,1464.2627336925361,4036.3352994359775,3438.7594506761816,1221.6761173428495,-538.0948242594823,-360.1362105395565,2211.936355203885,1614.360506444089,-602.7228268892432
2025-02-02,56747.88759540669,56112.123282406785,59295.69353393905,58718.162666419616,57749.25353720164,58660.50988603129,57789.13317383485,57298.30159377861,57298.30159377861,57298.30159377861,58660.50988603129,60162.4741702048,59469.47778042548,-1041.2455784281628,-1677.009891428068,1506.5603601041948,929.0294925847629,871.3767121964338,-2721.5901850187875,-3357.3544980186925,-173.78424648642977,-751.3151140058617,-808.9678943941908
2025-02-03,58358.224311510545,54397.74444309716,57810.59339368033,57219.179206485445,56444.91519151753,57128.98671682702,55410.91177666148,55928.36387021499,55928.36387021499,55928.36387021499,57128.98671682702,57824.907216030144,57222.471839712074,2947.312534849065,-1013.1673335643209,2399.6816170188467,1808.2674298239654,1718.0749401655412,1135.7524717984707,-2824.727396614915,588.1215539682526,-3.2926332266288227,-93.48512288505299
2025-02-04,55680.79549607796,55549.062627984444,58400.423925948366,57957.14601824264,57048.08456970002,57887.47628713432,56687.929147734576,56687.929147734576,58028.68344968599,56687.929147734576,57887.47628713432,58941.280048464265,58396.68726922059,-1007.1336516566153,-1138.8665197501323,1712.4947782137897,1269.2168705080621,1199.5471393997432,-2715.8917731426263,-2847.6246412361434,3.736656727778609,-439.54125097794895,-509.2109820862679
2025-02-05,58059.628994586565,56993.71802228667,57171.562640944525,56609.73996799606,55788.06587150923,56613.526417840585,55415.69048942866,56748.167516878515,56613.526417840585,55415.69048942866,56613.526417840585,59871.18658932247,59315.3679185151,2643.938505157901,1578.0275328580028,1755.8721515158613,1194.0494785673945,1197.8359284119215,-1255.738923928533,-2321.6498962284313,-2143.805277570573,-2705.6279505190396,-2701.8415006745126
2025-02-06,55559.22219858265,56453.055704818275,58226.28826175227,57845.93439121173,56952.38238803406,57807.99117789844,56693.95982488833,57807.99117789844,57807.99117789844,56693.95982488833,57807.99117789844,59550.43075106966,59109.939128719365,-1134.7376263056794,-240.90412007005216,1532.3284368639434,1151.9745663234062,1114.031353010112,-3550.7169301367176,-2656.8834239010903,-883.6508669670948,-1264.004737507632,-1301.947950820926
2025-02-07,21934.725797267245,21681.60832379342,23438.266422628174,22944.0072322913,22389.863561298647,22945.749673025744,22031.84309072771,21897.346811696218,21897.346811696218,22031.84309072771,22945.749673025744,23908.842891101405,23403.683327974963,-97.11729346046559,-350.2347669342889,1406.4233319004634,912.1641415635895,913.9065822980338,-1468.9575307077175,-1722.0750041815409,34.58309465321145,-459.6760956836624,-457.9336549492182
2025-02-08,22172.105656737232,20001.589964978146,20761.73895260872,20423.143772594212,20166.958500966335,20450.226775297328,19940.566502219575,19940.566502219575,20066.83477838086,19940.566502219575,20450.226775297328,20872.441992759,20442.033149971183,2231.539154517657,61.02346275857053,821.1724503891455,482.577270374637,509.6602730777522,1730.0725067660496,-440.443184993037,319.705802637538,-18.889377376970515,8.193625326144684
2025-02-09,65892.2612451565,64108.19468893844,53678.219217542166,53392.550088150456,59749.49077445746,53429.415640333056,59762.557955136326,59647.589187230195,53432.5795619867,59647.589187230195,53429.415640333056,54402.129827941,54051.069075309184,6129.703290020167,4345.6367338021155,-6084.33873759416,-6370.00786698587,-6333.14231480327,11841.192169847309,10057.125613629258,-372.84985776701797,-658.5189871587281,-621.6534349761278
2025-02-10,54775.216348034,53229.33564332659,54915.526255999335,54781.28127246657,54915.526255999335,54777.448199189144,54730.473029595385,53495.965127918185,54777.448199189144,54858.90795015598,54777.448199189144,56298.091938434925,56070.11820529866,44.74331843861728,-1501.1373862687979,185.05322640395025,50.80824287118594,46.97516959375935,-1294.90185726466,-2840.782561972075,-1154.591949299327,-1288.8369328320914,-1292.670006109518
