policy,baseline,wins,losses,ties,positive_months,worst_day_saving_yuan,best_day_saving_yuan
S_joint,B0,252,82,0,11,-8435.239930032694,44464.763085526414
S_joint,B1,206,128,0,11,-12892.127903512504,85270.7534735527
S_joint,P,258,76,0,7,-14475.368924105234,10935.234207454589
S_joint,P_terminal,223,111,0,5,-14393.385530307482,11105.340914038796
S_joint,P_floor,136,84,114,5,-13957.472801683747,11670.370828969048
P_B1_floor,B0,234,100,0,11,-11202.07676049965,53184.93892338114
P_B1_floor,B1,182,152,0,11,-8361.153351435765,45735.476264206765
P_B1_floor,P,205,129,0,8,-44970.35958898364,18761.876626824538
P_B1_floor,P_terminal,155,179,0,5,-45028.63193495969,18873.581224351903
P_B1_floor,P_floor,152,182,0,4,-44631.5317197628,20084.758030435347
