policy,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,initial_energy_kwh,final_energy_kwh,inventory_value_yuan_per_kwh,inventory_adjusted_cost_yuan,emergency_share_of_load,emergency_intervals,emergency_days,solver_runtime_seconds,solver_max_runtime_seconds,solver_max_mip_gap,solver_failures,solver_fallbacks,wall_seconds,emergency_fee_share,unused_grid_cost_yuan,emergency_premium_yuan,days_starting_full,mean_initial_soc_kwh,solver_count,saving_vs_B0_yuan,saving_vs_B0_percent,inventory_adjusted_saving_vs_B0_yuan,saving_vs_B1_yuan,saving_vs_B1_percent,inventory_adjusted_saving_vs_B1_yuan,saving_vs_P_yuan,saving_vs_P_percent,inventory_adjusted_saving_vs_P_yuan,saving_vs_P_terminal_yuan,saving_vs_P_terminal_percent,inventory_adjusted_saving_vs_P_terminal_yuan,saving_vs_P_floor_yuan,saving_vs_P_floor_percent,inventory_adjusted_saving_vs_P_floor_yuan,gap_to_relaxed_bound_yuan
B0,19839930.398287483,751884.1216948977,11987831.567381367,4345851.825469283,16333683.392850649,6468111.533041743,5243260.664473787,1427774.156447757,330363.1500750936,1097411.0063726634,334,48096,7268.4231640740745,2723.6201529907166,0.6895775000000001,16336817.386749024,0.020316756018460853,4446,324,8.751930335027282,0.05950454098638147,2.757153279003857e-16,0,0,17.049212958008866,0.266066858340813,193233.07897957333,3476681.460375427,4,2691.7122906133036,,0.0,0.0,0.0,-955476.0420574397,-6.2131822016833205,-958034.7576727569,-2124173.547497116,-14.948957216787562,-2129742.837321067,-2298054.599400986,-16.373007816176166,-2300678.603847932,-2310844.794352103,-16.479151336730993,-2310331.011334529,4106118.089678239
B1,20243492.085644614,519849.5915405929,12263657.576506453,3114549.774286757,15378207.350793209,6632272.907899279,5372891.878119217,1564771.1524384758,420651.70110225386,1144119.4513362218,334,48096,7268.4231640740745,6434.175696518038,0.6895775000000001,15378782.629076267,0.01404692161049852,2747,306,8.902649167037453,0.060444041999289766,2.079371789209053e-16,0,0,17.326168457992026,0.20253009360847957,235087.7956176543,2491639.819429406,13,6520.511894369637,,955476.0420574397,5.849727946089963,958034.7576727569,0.0,0.0,0.0,-1168697.5054396763,-8.224755942738144,-1171708.0796483103,-1342578.5573435463,-9.565503456247852,-1342643.8461751752,-1355368.7522946633,-9.66543786961782,-1352296.2536617722,3150642.0476207994
P,22223636.400577143,105682.08824927587,13567664.565959878,641845.2793936513,14209509.845353533,6746890.389348881,5461802.79622026,3105041.400731131,1706751.3288019402,1398290.0719291908,334,48096,7268.4231640740745,10800.0,0.6895775000000001,14207074.549427956,0.002855649082789451,648,115,7.10921716595476,0.05058979199384339,5.243293391438093e-16,0,0,15.7055784999975,0.04517012102310713,955093.5540551502,513476.22351492103,283,10626.328454980761,,2124173.547497116,13.004865445272923,2129742.837321067,1168697.5054396763,7.599699228788165,1171708.0796483103,0.0,0.0,0.0,-173881.05190386996,-1.238854735065515,-170935.76652686484,-186671.246854987,-1.3311944335933117,-180588.17401346192,1981944.542181123
P_terminal,21839559.57665098,105418.64543077363,13395135.420731425,640493.3727182364,14035628.793449663,6438517.526022172,5215864.807276535,2783136.008369449,1360632.0897933524,1422503.918576097,334,48096,7268.4231640740745,6528.855165656465,0.6895775000000001,14036138.782901092,0.002848530561046685,643,114,8.978810411033919,0.06537779100472108,5.345269820780356e-16,0,0,17.674891417002073,0.04563339356888311,797864.0281640652,512394.6981745891,0,6869.508899546739,,2298054.599400986,14.069420498298982,2300678.603847932,1342578.5573435463,8.73039702689596,1342643.8461751752,173881.05190386996,1.2236949324520756,170935.76652686484,0.0,0.0,0.0,-12790.194951117039,-0.09120974231627048,-9652.407486597076,1808063.490277253
S_tau,21879549.40189392,153460.63482490747,13343041.783431338,928898.0877951251,14271939.871226463,6808684.795196992,5511856.264957231,2796992.0115124006,1464232.9729029844,1332759.0386094167,334,48096,7268.4231640740745,10800.0,,14269504.575300887,0.004146679237151019,931,151,38.79529525092221,0.06070945800456684,5.243293391438093e-16,0,0,67.54253245799919,0.06508562228936156,822283.2298937666,743118.4702361003,237,10544.718338828843,1670.0,2061743.5216241851,12.622648988816708,2067312.8114481363,1106267.4795667455,7.193734967487508,1109278.0537753794,-62430.025872930884,-0.4393538310073751,-62430.025872930884,-236311.07777680084,-1.6836515218120167,-233365.79239979573,-249101.27272791788,-1.7763969183428359,-243018.1998863928,2044374.568054054
S_terminal,21710595.118406385,115496.9390143515,13361633.361082146,660044.4512763959,14021677.812358541,6262577.099082971,5077448.335327199,2701773.7986983014,1287711.4290039558,1414062.3696943452,334,48096,7268.4231640740745,1978.550864081664,,14025325.58927449,0.0031208574075804367,886,116,26.897669290876365,0.06349000000045635,5.246264885082638e-16,0,0,47.318008083006134,0.04707314346466017,768077.0231073315,528035.5610211168,0,2344.2668854359945,1002.0,2312005.580492107,14.154832837668973,2311491.7974745333,1356529.5384346675,8.821116190533727,1353457.0398017764,187832.03299499117,1.3218755258923423,181748.9601534661,13950.981091121212,0.09939690837101679,10813.193626601249,1160.786140004173,0.008277825718741859,1160.786140004173,1794112.5091861319
S_joint,21534358.52614472,145964.5471027661,13239940.726312116,840832.0447178853,14080772.771030001,6304186.7827371275,5111152.179087066,2548098.974630759,1167923.0939706021,1380175.8806601567,334,48096,7268.4231640740745,1978.550864081664,,14084420.54794595,0.003944126502029522,1127,141,135.32746268075425,0.07356095900468063,5.246264885082638e-16,0,0,206.8632063339901,0.059714907582900996,702089.8195640923,672665.6357743083,0,2290.9081922403857,5010.0,2252910.6218206473,13.793034722386988,2252396.8388030734,1297434.5797632076,8.436838899147018,1294362.0811303165,128737.07432353124,0.9059923651457118,122654.00148200616,-45143.97758033872,-0.3216384406048635,-48281.76504485868,-57934.172531455755,-0.41314154851399976,-57934.172531455755,1853207.4678575918
S_w14,21446536.198377647,149189.1788811857,13170107.178675525,859741.435381213,14029848.614056738,6348428.278031122,5147012.665079253,2455120.2693402986,1107569.6949403882,1347550.5743999104,334,48096,7268.4231640740745,1950.9121929147825,,14033515.449978452,0.00403125968545657,1151,167,137.43516211101087,0.07324124999286141,5.392230996597419e-16,0,0,208.96808575000614,0.06127945204767383,659655.42378628,687793.1483049704,0,2205.5193901446937,5010.0,2303834.7787939105,14.10480859327978,2303301.9367705714,1348358.7367364708,8.767983848695618,1345267.1790978145,179661.2312967945,1.2643731786113874,173559.09944950417,5780.179392924532,0.041182190537997876,2623.3329226393253,-7010.015558192506,-0.0499899896084027,-7029.074563957751,1802283.3108843286
S_w56,21526757.54859402,144602.18316370226,13239410.06547128,831358.3637281494,14070768.429199431,6301320.32431201,5108830.347762722,2539680.2602417683,1195730.852056895,1343949.4081848732,334,48096,7268.4231640740745,1978.550864081664,,14074416.20611538,0.003907313893597366,1108,145,133.2884602143895,0.06795733299804851,5.392230996597419e-16,0,0,203.3963117079984,0.05908407688686909,715219.8301769414,665086.6909825194,0,2359.2202092446423,5010.0,2262914.9636512175,13.854284482101011,2262401.1806336436,1307438.9215937778,8.501894218030166,1304366.4229608867,138741.4161541015,0.9763983252347689,132658.3433125764,-35139.635749768466,-0.25036025294547476,-38277.42321428843,-47929.830700885504,-0.3417983482033192,-47929.830700885504,1843203.1260270216
S_no_inventory,21417564.148516476,173683.70231033716,13159165.37870693,988638.2657643041,14147803.644471234,6316563.794044188,5121177.558245786,2456672.120061746,1113696.640292942,1342975.4797688038,334,48096,7268.4231640740745,1978.550864081664,,14151451.421387183,0.004693129303313032,1337,154,132.80723087691877,0.0701059169950895,5.246264885082638e-16,0,0,202.70699662501283,0.06987927530013821,667564.3889299395,790910.6126114433,0,2172.89320720804,5010.0,2185879.748379415,13.382650415130415,2185365.965361841,1230403.7063219752,8.000956667153476,1227331.207689084,61706.20088229887,0.43425988337294136,55623.128040773794,-112174.85102157108,-0.799215002564918,-115312.63848609105,-124965.04597268812,-0.8911537068255809,-124965.04597268812,1920238.3412988242
P_floor,21709846.670354728,116089.3529995809,13361564.945683166,661273.6528153808,14022838.598498546,6262055.860909414,5077026.132406618,2701716.7998848464,1287669.4949824326,1414047.3049024136,334,48096,7268.4231640740745,1978.550864081664,,14026486.375414494,0.003136865100857292,898,116,8.362238930989406,0.05984066700330004,4.01310126908503e-16,0,0,20.596854167000856,0.0471569039442688,768060.4550450046,529018.9222523047,0,2330.104155086377,334.0,2310844.794352103,14.147726136062937,2310331.011334529,1355368.7522946633,8.81356793660838,1352296.2536617722,186671.246854987,1.3137064465036978,180588.17401346192,12790.194951117039,0.09112662595555492,9652.407486597076,0.0,0.0,0.0,1795273.295326136
P_B1,22515635.09915778,94535.53035648656,13750060.199329784,563768.1905106914,14313828.389840476,6689938.684782898,5415671.915521814,3396714.3652865165,1925529.5901174925,1471184.775169024,334,48096,7268.4231640740745,10800.0,,14311393.0939149,0.002554456531146042,568,104,7.59558887105959,0.05415970800095238,2.581516564402661e-16,0,0,19.280470040990622,0.03938626167342044,1074037.243774486,451014.55240855314,298,10607.532952625748,334.0,2019855.0030101724,12.366194167166697,2025424.2928341236,1064378.9609527327,6.921346140503379,1067389.5351613667,-104318.54448694363,-0.7341459742262362,-104318.54448694363,-278199.5963908136,-1.9820957114557458,-275254.3110138085,-290989.7913419306,-2.075113318162897,-284906.71850040555,2086263.0866680667
P_B1_floor,22001227.407428928,106001.7741872199,13543591.757924575,583631.1008132328,14127222.858737808,6214722.720438238,5038861.317682307,2992178.283893549,1490009.421971189,1502168.8619223596,334,48096,7268.4231640740745,1784.074133703703,,14131004.742431298,0.0028642873569813578,810,103,8.406779460856342,0.07002650000504218,3.7889526612059863e-16,0,0,20.111708416996407,0.041312514614452484,881058.2409068672,466904.8806505863,0,2335.194869161038,334.0,2206460.534112841,13.508652525238869,2205812.6443177257,1250984.4920554012,8.134787517940934,1247777.8866449688,82286.98661572486,0.579097995013758,76069.80699665844,-91594.0652881451,-0.6525825571198596,-94865.9595302064,-104384.26023926213,-0.7443875183048799,-104518.36701680347,1899657.5555653982
