date,slot_id,interval_end,interval_start,load_actual_kwh,pv_actual_kwh,available_time,issue_time,price_yuan_per_kwh,load_forecast_kwh,pv_forecast_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-15,1,2025-01-15 00:10:00,2025-01-15 00:00:00,603.4397666666667,0.0,2025-01-15T00:10:00,2025-01-15 00:00:00,0.4248,634.1137833333333,0.0,1467.4471166666667,833.3333333333333,0.0,6841.831117592594,7591.831117592594,0.0,1.0,833.3333333333334,0.0,0.0,30.674016666666603,30.674016666666603,0.0,6841.831117592594,7591.831117592594,623.37153516,0.0,623.37153516
2025-01-15,2,2025-01-15 00:20:00,2025-01-15 00:10:00,618.0562833333333,0.0,2025-01-15T00:20:00,2025-01-15 00:00:00,0.4245,652.5348833333334,0.0,1485.8682166666667,833.3333333333333,0.0,7591.831117592594,8341.831117592594,0.0,1.0,833.3333333333334,0.0,0.0,34.47860000000003,34.47860000000003,0.0,7591.831117592594,8341.831117592594,630.751057975,0.0,630.751057975
2025-01-15,3,2025-01-15 00:30:00,2025-01-15 00:20:00,639.72,0.0,2025-01-15T00:30:00,2025-01-15 00:00:00,0.4269,626.1716666666667,0.0,1459.505,833.3333333333333,0.0,8341.831117592594,9091.831117592594,0.0,1.0,819.7850000000001,0.0,0.0,0.0,0.0,0.0,8341.831117592594,9079.637617592594,623.0626845,0.0,623.0626845
2025-01-15,4,2025-01-15 00:40:00,2025-01-15 00:30:00,616.2570833333333,0.0,2025-01-15T00:40:00,2025-01-15 00:00:00,0.4272,566.1060166666667,0.0,797.4047748971182,231.2987582304514,0.0,9091.831117592594,9300.0,0.0,1.0,181.14769156378486,0.0,0.0,0.0,0.0,0.0,9079.637617592594,9242.670540000001,340.6513198360489,0.0,340.6513198360489
2025-01-15,5,2025-01-15 00:50:00,2025-01-15 00:40:00,602.7091833333333,0.0,2025-01-15T00:50:00,2025-01-15 00:00:00,0.4271,567.17295,0.0,1400.5062833333332,833.3333333333333,0.0,9300.0,10050.0,0.0,1.0,797.7970999999999,0.0,0.0,0.0,0.0,0.0,9242.670540000001,9960.68793,598.1562336116666,0.0,598.1562336116666
2025-01-15,6,2025-01-15 01:00:00,2025-01-15 00:50:00,621.71,0.0,2025-01-15T01:00:00,2025-01-15 00:00:00,0.4285,619.8166666666667,0.0,619.8166666666667,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0,1.8933333333333167,0.0,0.0,0.0,0.0,9960.68793,9958.584226296296,265.5914416666667,0.0,265.5914416666667
2025-01-15,7,2025-01-15 01:10:00,2025-01-15 01:00:00,641.1512666666666,0.0,2025-01-15T01:10:00,2025-01-15 00:00:00,0.4311,621.4441333333333,0.0,621.4441333333333,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0,19.70713333333333,0.0,0.0,0.0,0.0,9958.584226296296,9936.687411481482,267.90456587999995,0.0,267.90456587999995
2025-01-15,8,2025-01-15 01:20:00,2025-01-15 01:10:00,649.754,0.0,2025-01-15T01:20:00,2025-01-15 00:00:00,0.4302,597.452,0.0,597.452,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0,52.30200000000002,0.0,0.0,0.0,0.0,9936.687411481482,9878.574078148149,257.0238504,0.0,257.0238504
2025-01-15,9,2025-01-15 01:30:00,2025-01-15 01:20:00,645.8683333333333,0.0,2025-01-15T01:30:00,2025-01-15 00:00:00,0.4279,602.7116666666667,0.0,602.7116666666667,0.0,0.0,10050.0,10050.0,0.0,0.0,0.0,43.15666666666664,0.0,0.0,0.0,0.0,9878.574078148149,9830.622226296297,257.9003221666667,0.0,257.9003221666667
2025-01-15,10,2025-01-15 01:40:00,2025-01-15 01:30:00,635.8463333333333,0.0,2025-01-15T01:40:00,2025-01-15 00:00:00,0.4312,655.6580666666667,0.0,655.6580666666667,0.0,0.0,10050.0,10050.0,0.0,0.0,19.81173333333345,0.0,0.0,0.0,0.0,0.0,9830.622226296297,9848.452786296297,282.7197583466667,0.0,282.7197583466667
