month,soc_saving_yuan,raw_increment_saving_yuan,raw_vs_no_update_saving_yuan,cumulative_raw_vs_no_update_saving_yuan
2025-02,8288.72710910792,26410.797661516615,34699.524770624535,34699.524770624535
2025-03,37307.56854697866,34907.067751221286,72214.63629819994,106914.16106882447
2025-04,21052.50399154093,11725.117547674095,32777.621539215026,139691.7826080395
2025-05,15160.521520844042,431.9930976769301,15592.514618520972,155284.29722656048
2025-06,11002.21922337601,-10450.966967267032,551.252256108979,155835.54948266945
2025-07,120023.17787777002,9237.149378662089,129260.32725643211,285095.87673910154
2025-08,8428.044135543234,13940.05114411646,22368.095279659694,307463.9720187612
2025-09,18394.11281550989,17775.350031504808,36169.4628470147,343633.4348657759
2025-10,5929.402921317924,30882.75385756613,36812.156778884055,380445.59164466
2025-11,-834.069537137606,7030.40020343299,6196.330666295384,386641.92231095536
2025-12,40821.53266329219,3389.953026725125,44211.48569001732,430853.4080009727
