policy,month,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
no_update,2025-02,1147471.083464193,172255.51904090002,1319726.6025050932
no_update,2025-03,1044905.3141773542,235797.0125536532,1280702.3267310073
no_update,2025-04,849599.0929183252,255490.5212296965,1105089.6141480217
no_update,2025-05,832974.443090662,380037.6432809271,1213012.0863715892
no_update,2025-06,1163976.5327424093,361672.46424513595,1525648.996987545
no_update,2025-07,1305990.0369213317,616978.0066327685,1922968.0435541004
no_update,2025-08,1177246.6893367642,254682.49351111244,1431929.1828478763
no_update,2025-09,1010765.9856751963,370647.4705792988,1381413.456254495
no_update,2025-10,1034099.264058305,279687.77016246744,1313787.0342207726
no_update,2025-11,1169163.9804961374,280094.70416025963,1449258.6846563972
no_update,2025-12,1545392.1747620818,353139.7853964381,1898531.9601585201
all_A,2025-02,1183379.4522503833,29377.701716754735,1212757.1539671386
all_A,2025-03,1099977.086417591,22010.5787213077,1121987.6651388987
all_A,2025-04,902263.7490549131,43748.532667658874,946012.2817225718
all_A,2025-05,909088.845487299,85497.46486110963,994586.3103484086
all_A,2025-06,1243958.2781285949,94056.9914196849,1338015.2695482797
all_A,2025-07,1423062.524690639,134780.0460021812,1557842.57069282
all_A,2025-08,1229742.6592363378,50100.379475276415,1279843.0387116142
all_A,2025-09,1099390.6837059523,90523.73224744374,1189914.415953396
all_A,2025-10,1101508.7116808817,62900.92919370403,1164409.6408745858
all_A,2025-11,1239377.405647506,22580.654673759673,1261958.0603212656
all_A,2025-12,1621849.5559656422,83704.09797843342,1705553.653944076
all_B,2025-02,1187976.525687355,23662.398199501982,1211638.9238868575
all_B,2025-03,1099089.681624169,19851.29706938106,1118940.97869355
all_B,2025-04,904680.0896215517,42645.95237877263,947326.0420003243
all_B,2025-05,909633.3631610646,84284.49842238349,993917.8615834481
all_B,2025-06,1241457.9694070504,93738.65691531826,1335196.6263223686
all_B,2025-07,1434056.979945954,135145.32655513933,1569202.3065010936
all_B,2025-08,1233880.1133736137,48157.527889715326,1282037.6412633287
all_B,2025-09,1094812.2649208202,87861.5256732594,1182673.7905940798
all_B,2025-10,1099081.1757117268,61304.85661358425,1160386.0323253106
all_B,2025-11,1243138.385716743,20224.294028016688,1263362.6797447598
all_B,2025-12,1618020.2326950557,82338.13584263636,1700358.368537692
