date,total_cost_yuan,emergency_cost_yuan,energy_end_actual_kwh,contract_cost_yuan
2025-02-01,258.85302419027056,0.0,7437.013258206003,258.85302419027056
2025-02-01,255.8353592842901,0.0,7605.5537953635085,255.8353592842901
2025-02-01,253.4336639232245,0.0,7770.203237928283,253.4336639232245
2025-02-01,279.1675282150842,0.0,7971.0717554600615,279.1675282150842
2025-02-01,285.6124567186505,0.0,8190.954749885923,285.6124567186505
2025-02-01,263.4867707234435,0.0,8378.922704147531,263.4867707234435
2025-02-01,264.73944812307394,0.0,8538.539497650818,264.73944812307394
2025-02-01,261.98447167296405,0.0,8680.006251422708,261.98447167296405
2025-02-01,270.9588374149309,0.0,8848.440663372785,270.9588374149309
2025-02-01,261.2822681478153,0.0,8969.19892564791,261.2822681478153
2025-02-01,255.62363074620083,0.0,9096.927015771567,255.62363074620083
2025-02-01,264.12454708062717,0.0,9290.6722560234,264.12454708062717
2025-02-01,281.34237478687123,0.0,9489.806985366946,281.34237478687123
2025-02-01,268.16556345360465,0.0,9606.46360141284,268.16556345360465
2025-02-01,236.97418970053684,0.0,9641.948405925052,236.97418970053684
2025-02-01,241.75381811338963,0.0,9715.693258004285,241.75381811338963
2025-02-01,246.52377179658765,0.0,9812.261357097546,246.52377179658765
2025-02-01,238.1279242040366,0.0,9874.90077879512,238.1279242040366
2025-02-01,238.90415220259547,0.0,9931.41351343009,238.90415220259547
2025-02-01,241.12552543765958,0.0,9989.95536860372,241.12552543765958
2025-02-01,243.63377123445073,0.0,10044.367429005477,243.63377123445073
2025-02-01,238.70887928615366,0.0,10071.428736447559,238.70887928615366
2025-02-01,235.82653871583122,0.0,10100.006517466476,235.82653871583122
2025-02-01,215.17236841422653,0.0,10107.08850141532,215.17236841422653
2025-02-01,224.13954064564217,0.0,10123.383450220314,224.13954064564217
2025-02-01,222.74468231284442,0.0,10125.958708165312,222.74468231284442
2025-02-01,248.74471879347706,0.0,10183.93144124077,248.74471879347706
2025-02-01,236.29590502969467,0.0,10215.126267636684,236.29590502969467
2025-02-01,260.12632287249966,0.0,10291.993615036616,260.12632287249966
2025-02-01,261.4150338809056,0.0,10377.637003529937,261.4150338809056
2025-02-01,264.2896562397506,0.0,10486.68329160581,264.2896562397506
2025-02-01,235.8611276538147,0.0,10516.223985720326,235.8611276538147
2025-02-01,296.6792848629387,0.0,10660.735253510711,296.6792848629387
2025-02-01,483.91525836799923,0.0,10800.0,483.91525836799923
2025-02-01,140.33576233698116,0.0,10482.974290281958,140.33576233698116
2025-02-01,0.0,0.0,9915.215031022699,0.0
2025-02-01,0.0,0.0,9320.562605096773,0.0
2025-02-01,0.0,0.0,8727.945568059737,0.0
2025-02-01,0.0,0.0,8167.367790281959,0.0
2025-02-01,0.0,0.0,7590.0859199115885,0.0
2025-02-01,0.0,0.0,6977.330271763441,0.0
2025-02-01,0.0,0.0,6363.950642133811,0.0
2025-02-01,0.0,0.0,5792.219475467145,0.0
2025-02-01,0.0,0.0,5294.5433088004775,0.0
2025-02-01,0.0,0.0,4861.849790281959,0.0
2025-02-01,0.0,0.0,4442.234512504181,0.0
2025-02-01,0.0,0.0,4040.9441236152925,0.0
2025-02-01,0.0,0.0,3707.6964384301073,0.0
2025-02-01,0.0,0.0,3483.0006236152926,0.0
2025-02-01,0.0,0.0,3338.7866236152927,0.0
2025-02-01,0.0,0.0,3242.9148643560334,0.0
2025-02-01,0.0,0.0,3202.949142133811,0.0
2025-02-01,0.0,0.0,3133.555882874552,0.0
2025-02-01,0.0,0.0,3005.581808800478,0.0
2025-02-01,0.0,0.0,2954.666123615293,0.0
2025-02-01,0.0,0.0,2982.8905736152933,0.0
2025-02-01,0.0,0.0,3038.421323615293,0.0
2025-02-01,0.0,0.0,3133.018628615293,0.0
2025-02-01,0.0,0.0,3286.196153615293,0.0
2025-02-01,0.0,0.0,3480.0835286152933,0.0
2025-02-01,0.0,0.0,3660.459398615293,0.0
2025-02-01,0.0,0.0,3864.687563615293,0.0
2025-02-01,0.0,0.0,4127.690438615293,0.0
2025-02-01,0.0,0.0,4398.669398615293,0.0
2025-02-01,0.0,0.0,4707.565058615293,0.0
2025-02-01,0.0,0.0,5074.180058615293,0.0
2025-02-01,0.0,0.0,5423.815178615293,0.0
2025-02-01,0.0,0.0,5779.531238615293,0.0
2025-02-01,0.0,0.0,6179.6059886152925,0.0
2025-02-01,0.0,0.0,6579.302378615293,0.0
2025-02-01,21.636579747734803,0.0,6982.7429786152925,21.636579747734803
2025-02-01,97.72128282142236,0.0,7397.303603615293,97.72128282142236
2025-02-01,96.25041843826651,0.0,7783.081238615293,96.25041843826651
2025-02-01,61.273537131758104,0.0,8166.8297786152925,61.273537131758104
2025-02-01,102.71159201117638,0.0,8579.381528615293,102.71159201117638
2025-02-01,113.42932884097083,0.0,8985.266768615293,113.42932884097083
2025-02-01,0.0,0.0,9368.355713615292,0.0
2025-02-01,0.0,0.0,9740.544713615292,0.0
2025-02-01,0.0,0.0,10120.028528615292,0.0
2025-02-01,0.0,0.0,10500.480518615292,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,0.0,0.0,10800.0,0.0
2025-02-01,94.50457008348337,0.0,10800.0,94.50457008348337
2025-02-01,170.60069602613726,0.0,10800.0,170.60069602613726
2025-02-01,140.6201721224381,0.0,10794.656833898565,140.6201721224381
