policy,issue_hour,scope,n,mae_kwh,rmse_kwh
pv_raw,0,all,39600,34.77652205611672,65.37098677864624
pv_raw,0,actual_daylight_evaluation_only,20962,64.81124556783969,89.68410930402702
pv_raw,6,all,29700,30.438621494107746,48.430069382570856
pv_raw,6,actual_daylight_evaluation_only,19971,44.50735458275611,58.836750114143875
pv_raw,12,all,19800,17.914413163860832,30.80776949525811
pv_raw,12,actual_daylight_evaluation_only,10344,33.05950361857652,42.10871126674412
pv_raw,18,all,9900,3.18292377020202,11.102455502906281
pv_raw,18,actual_daylight_evaluation_only,817,29.334806351149194,34.348517052903105
pv_bias,0,all,39600,35.511929941628274,65.72559520256362
pv_bias,0,actual_daylight_evaluation_only,20962,65.58071085266359,89.95573210964392
pv_bias,6,all,29700,30.563315368918154,48.64640275226678
pv_bias,6,actual_daylight_evaluation_only,19971,44.57756583640901,59.08121913428595
pv_bias,12,all,19800,14.805459326756782,28.368536131980584
pv_bias,12,actual_daylight_evaluation_only,10344,27.851636201195372,39.08114811554512
pv_bias,18,all,9900,0.9930904587768782,4.424118629513309
pv_bias,18,actual_daylight_evaluation_only,817,9.96888879837074,13.785574295138428
