date,slot_id,interval_end,interval_start,load_actual_kwh,pv_actual_kwh,available_time,issue_time,history_end,load_forecast_kwh,pv_forecast_kwh,net_residual_kwh,residual_available_time
2025-01-02,1,2025-01-02T00:10:00,2025-01-02T00:00:00,603.7584833333334,0.0,2025-01-02T00:10:00,2025-01-02 00:00:00,2025-01-02 00:00:00,588.2882666666667,0.0,15.470216666666715,2025-01-03 00:00:00
2025-01-02,2,2025-01-02T00:20:00,2025-01-02T00:10:00,603.7935166666667,0.0,2025-01-02T00:20:00,2025-01-02 00:00:00,2025-01-02 00:00:00,601.5881166666667,0.0,2.205400000000054,2025-01-03 00:00:00
2025-01-02,3,2025-01-02T00:30:00,2025-01-02T00:20:00,618.0383333333333,0.0,2025-01-02T00:30:00,2025-01-02 00:00:00,2025-01-02 00:00:00,621.0933333333334,0.0,-3.0550000000000637,2025-01-03 00:00:00
2025-01-02,4,2025-01-02T00:40:00,2025-01-02T00:30:00,625.0871,0.0,2025-01-02T00:40:00,2025-01-02 00:00:00,2025-01-02 00:00:00,585.1051833333333,0.0,39.98191666666662,2025-01-03 00:00:00
2025-01-02,5,2025-01-02T00:50:00,2025-01-02T00:40:00,614.1506333333333,0.0,2025-01-02T00:50:00,2025-01-02 00:00:00,2025-01-02 00:00:00,583.7604166666666,0.0,30.390216666666674,2025-01-03 00:00:00
2025-01-02,6,2025-01-02T01:00:00,2025-01-02T00:50:00,607.3566666666667,0.0,2025-01-02T01:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,631.1683333333334,0.0,-23.811666666666724,2025-01-03 00:00:00
2025-01-02,7,2025-01-02T01:10:00,2025-01-02T01:00:00,634.8829999999999,0.0,2025-01-02T01:10:00,2025-01-02 00:00:00,2025-01-02 00:00:00,650.0534166666666,0.0,-15.17041666666671,2025-01-03 00:00:00
2025-01-02,8,2025-01-02T01:20:00,2025-01-02T01:10:00,642.5204333333334,0.0,2025-01-02T01:20:00,2025-01-02 00:00:00,2025-01-02 00:00:00,652.8062666666666,0.0,-10.285833333333244,2025-01-03 00:00:00
2025-01-02,9,2025-01-02T01:30:00,2025-01-02T01:20:00,630.63,0.0,2025-01-02T01:30:00,2025-01-02 00:00:00,2025-01-02 00:00:00,636.2133333333334,0.0,-5.583333333333371,2025-01-03 00:00:00
2025-01-02,10,2025-01-02T01:40:00,2025-01-02T01:30:00,651.2308166666667,0.0,2025-01-02T01:40:00,2025-01-02 00:00:00,2025-01-02 00:00:00,588.8356,0.0,62.39521666666667,2025-01-03 00:00:00
2025-01-02,11,2025-01-02T01:50:00,2025-01-02T01:40:00,661.3733,0.0,2025-01-02T01:50:00,2025-01-02 00:00:00,2025-01-02 00:00:00,615.7768833333333,0.0,45.59641666666664,2025-01-03 00:00:00
2025-01-02,12,2025-01-02T02:00:00,2025-01-02T01:50:00,647.795,0.0,2025-01-02T02:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,677.455,0.0,-29.660000000000082,2025-01-03 00:00:00
2025-01-02,13,2025-01-02T02:10:00,2025-01-02T02:00:00,644.2316833333333,0.0,2025-01-02T02:10:00,2025-01-02 00:00:00,2025-01-02 00:00:00,635.1118333333333,0.0,9.119850000000042,2025-01-03 00:00:00
2025-01-02,14,2025-01-02T02:20:00,2025-01-02T02:10:00,655.2810166666667,0.0,2025-01-02T02:20:00,2025-01-02 00:00:00,2025-01-02 00:00:00,640.8249166666667,0.0,14.456099999999992,2025-01-03 00:00:00
