slot_id,hour,net_load_kwh,grid_effective_kwh,emergency_kwh,battery_net_kwh,energy_end_actual_kwh
1,0.0,617.4203,559.9945363867665,0.0,57.42576361323347,1313.3957126526193
2,0.16666666666666666,604.6776166666667,587.4290605562713,0.0,17.248556110395384,1294.2306503077357
3,0.3333333333333333,570.015,551.5509891277208,0.0,18.464010872279232,1273.7150826718696
4,0.5,613.9556333333334,518.9173148308562,28.69474409779454,66.34357440468264,1200.0
5,0.6666666666666666,654.7454166666666,504.1018801674473,150.64353649921935,0.0,1200.0
6,0.8333333333333334,651.52,494.78607701876155,156.73392298123844,0.0,1200.0
7,1.0,640.0374166666667,456.14346164480247,183.8939550218642,0.0,1200.0
8,1.1666666666666667,611.7769,472.6341252363777,139.14277476362224,0.0,1200.0
9,1.3333333333333333,589.4266666666666,518.810392882716,70.61627378395065,0.0,1200.0
10,1.5,610.1208166666667,493.2756068908744,116.84520977579224,0.0,1200.0
11,1.6666666666666667,600.72235,465.1061432923868,135.61620670761323,0.0,1200.0
12,1.8333333333333333,572.335,483.4125760418803,88.92242395811974,0.0,1200.0
13,2.0,605.6133333333333,518.1300690267452,87.48326430658813,0.0,1200.0
14,2.1666666666666665,615.3989166666667,497.85727521987616,117.54164144679048,0.0,1200.0
15,2.3333333333333335,590.305,493.4006705875595,96.90432941244046,0.0,1200.0
16,2.5,603.6421,504.1606646658454,99.48143533415464,0.0,1200.0
17,2.6666666666666665,604.7434666666667,488.6126937854378,116.13077288122888,0.0,1200.0
18,2.8333333333333335,580.4833333333333,458.92582883258535,121.557504500748,0.0,1200.0
19,3.0,571.30195,482.09032514793745,89.21162485206253,0.0,1200.0
20,3.1666666666666665,554.6953,462.6571741061946,92.0381258938054,0.0,1200.0
21,3.3333333333333335,538.2733333333333,438.24016687777663,100.03316645555668,0.0,1200.0
22,3.5,557.8779,438.51699811208954,119.36090188791042,0.0,1200.0
23,3.6666666666666665,576.8062166666667,457.8722220394888,118.93399462717792,0.0,1200.0
24,3.8333333333333335,561.905,468.1421906758065,93.76280932419348,0.0,1200.0
25,4.0,518.8694333333334,429.99087063376544,88.87856269956791,0.0,1200.0
26,4.166666666666667,516.36915,427.94021896157386,88.42893103842613,0.0,1200.0
27,4.333333333333333,549.6083333333333,447.9059283136885,101.70240501964486,0.0,1200.0
28,4.5,548.9686,471.24646548865314,77.72213451134684,0.0,1200.0
29,4.666666666666667,542.9375333333334,473.24145829242104,69.69607504091232,0.0,1200.0
30,4.833333333333333,530.7566666666667,475.6113642708953,55.14530239577135,0.0,1200.0
31,5.0,471.10265,786.0411452761434,0.0,-314.93849527614344,1483.4446457485292
32,5.166666666666667,460.11935000000005,435.20889216382824,0.0,24.91045783617176,1455.766359263894
33,5.333333333333333,478.5754166666667,876.982062842209,0.0,-398.4066461755423,1814.332340821882
34,5.5,411.8446666666666,1175.392715149763,0.0,-763.5480484830964,2501.525584456669
35,5.666666666666667,345.75905,0.0,0.0,345.75905,2117.348862234446
36,5.833333333333333,326.88874999999996,0.0,0.0,326.88874999999996,1754.1391400122243
37,6.0,310.50911666666656,1.9732731665872885,0.0,308.5358435000793,1411.3215361232476
38,6.166666666666667,253.56001666666668,118.6276258547014,0.0,134.93239081196526,1261.396657443286
39,6.333333333333333,180.34583333333336,85.05004476162544,40.03879687275041,55.25699169895752,1200.0
40,6.5,158.01683333333324,83.88027882159476,74.1365545117385,0.0,1200.0
41,6.666666666666667,162.22706666666664,53.79963882078172,108.42742784588496,0.0,1200.0
42,6.833333333333333,165.83791666666667,54.95796778344557,110.87994888322112,0.0,1200.0
43,7.0,151.64976666666666,6.537200534554334,145.11256613211236,0.0,1200.0
44,7.166666666666667,63.94173333333333,0.0071098921785853,63.93462344115471,0.0,1200.0
45,7.333333333333333,-50.32208333333335,0.0,0.0,-50.32208333333335,1245.289875
46,7.5,-75.02621666666664,0.0,0.0,-75.02621666666664,1312.8134699999998
47,7.666666666666667,-65.65790000000004,0.0,0.0,-65.65790000000004,1371.90558
48,7.833333333333333,-77.0754166666668,0.0,0.0,-77.0754166666668,1441.273455
49,8.0,-110.57541666666668,0.0,0.0,-110.57541666666668,1540.79133
50,8.166666666666666,-134.8069999999999,0.0,0.0,-134.8069999999999,1662.11763
51,8.333333333333334,-168.40041666666662,0.0,0.0,-168.40041666666662,1813.678005
52,8.5,-243.6133166666666,0.0,0.0,-243.6133166666666,2032.92999
53,8.666666666666666,-226.3114999999999,0.0,0.0,-226.3114999999999,2236.6103399999997
54,8.833333333333334,-160.86208333333332,0.0,0.0,-160.86208333333332,2381.3862149999995
55,9.0,-232.5619833333334,0.0,0.0,-232.56198333333327,2590.6919999999996
56,9.166666666666666,-313.8059666666668,0.0,0.0,-313.8059666666668,2873.1173699999995
57,9.333333333333334,-339.8862499999999,0.0,0.0,-339.8862499999999,3179.0149949999995
58,9.5,-378.34415,0.0,0.0,-378.34415,3519.5247299999996
59,9.666666666666666,-449.17330000000015,0.0,0.0,-449.17330000000015,3923.7807
60,9.833333333333334,-505.4579166666666,0.0,0.0,-505.4579166666666,4378.692825
61,10.0,-487.04843333333326,0.0,0.0,-487.04843333333326,4817.0364150000005
62,10.166666666666666,-489.98581666666644,0.0,0.0,-489.98581666666666,5258.02365
63,10.333333333333334,-544.0550000000001,0.0,0.0,-544.0550000000001,5747.6731500000005
64,10.5,-594.1343666666664,0.0,0.0,-594.1343666666667,6282.394080000001
65,10.666666666666666,-666.0529666666667,0.0,0.0,-666.0529666666667,6881.841750000001
66,10.833333333333334,-739.0779166666665,0.0,0.0,-739.0779166666667,7547.011875000002
67,11.0,-757.3214833333335,0.0,0.0,-757.3214833333335,8228.601210000003
68,11.166666666666666,-791.8094500000001,0.0,0.0,-791.8094500000001,8941.229715000003
69,11.333333333333334,-847.7520833333332,0.0,0.0,-833.3333333333334,9691.229715000003
70,11.5,-846.1237999999996,0.0,0.0,-833.3333333333334,10441.229715000003
71,11.666666666666666,-767.9940999999999,0.0,0.0,-398.6336499999965,10800.0
72,11.833333333333334,-698.7229166666666,0.0,0.0,0.0,10800.0
73,12.0,-747.8490166666667,0.0,0.0,0.0,10800.0
74,12.166666666666666,-776.4643500000002,0.0,0.0,0.0,10800.0
75,12.333333333333334,-755.1158333333333,0.0,0.0,0.0,10800.0
76,12.5,-769.6562,0.0,0.0,0.0,10800.0
77,12.666666666666666,-687.5383833333334,0.0,0.0,0.0,10800.0
78,12.833333333333334,-559.0470833333333,0.0,0.0,0.0,10800.0
79,13.0,-577.7146999999999,0.0,0.0,0.0,10800.0
80,13.166666666666666,-562.7044333333333,0.0,0.0,0.0,10800.0
81,13.333333333333334,-463.34624999999994,0.0,0.0,0.0,10800.0
82,13.5,-413.1863666666667,0.0,0.0,0.0,10800.0
83,13.666666666666666,-380.3539833333333,0.0,0.0,0.0,10800.0
84,13.833333333333334,-363.63166666666655,0.0,0.0,0.0,10800.0
85,14.0,-394.5738,0.0,0.0,0.0,10800.0
86,14.166666666666666,-345.6375333333334,0.0,0.0,0.0,10800.0
87,14.333333333333334,-226.0725000000001,0.0,0.0,0.0,10800.0
88,14.5,-174.73378333333324,0.0,0.0,0.0,10800.0
89,14.666666666666666,-142.9018166666665,0.0,0.0,0.0,10800.0
90,14.833333333333334,-113.67083333333335,0.0,0.0,0.0,10800.0
91,15.0,-121.06208333333336,0.0,0.0,0.0,10800.0
92,15.166666666666666,-84.99091666666664,0.0,0.0,0.0,10800.0
93,15.333333333333334,-5.445416666666574,0.0,0.0,0.0,10800.0
94,15.5,33.66421666666679,0.0,0.0,33.66421666666679,10762.595314814816
95,15.666666666666666,50.03901666666661,0.0,0.0,50.03901666666661,10706.996407407409
96,15.833333333333334,73.3708333333334,0.0,0.0,73.3708333333334,10625.47325925926
97,16.0,107.67405000000008,0.011857049052916,0.0,107.6621929509472,10505.848600424872
98,16.166666666666668,116.83741666666663,41.333342833405,0.0,75.5040738332616,10421.955185054583
99,16.333333333333332,148.69041666666658,81.59227667183407,0.0,67.09813999483254,10347.401696171435
100,16.5,275.4662833333334,143.48511351899282,0.0,131.98116981434055,10200.75595193328
101,16.666666666666668,302.9773666666668,176.5022124404462,0.0,126.47515422622052,10060.228002793034
102,16.833333333333332,224.43666666666667,204.10942111113928,0.0,20.327245555527384,10037.642174398004
103,17.0,234.47534999999993,230.39095509266235,0.0,4.0843949073375825,10033.103957834292
104,17.166666666666668,313.0469666666666,258.54806029002293,0.0,54.49890637664362,9972.5496174158
105,17.333333333333332,379.02374999999995,291.1923079729663,0.0,87.83144202703352,9874.95912627465
106,17.5,383.1668333333334,378.41997440088375,0.0,4.746858932449641,9869.68483857193
107,17.666666666666668,417.01321666666666,394.1725526672397,0.0,22.840663999426965,9844.30632301701
108,17.833333333333332,488.65583333333336,349.1980776862421,0.0,139.4577556470913,9689.353261186909
109,18.0,516.1985166666667,320.8996765612187,0.0,195.298840105448,9472.354549958633
110,18.166666666666668,531.7311499999998,417.6643007758367,0.0,114.0668492241632,9345.61360637623
111,18.333333333333332,578.6579166666667,495.5361023115471,0.0,83.12181435511957,9253.25603487054
112,18.5,665.1320000000001,513.9675892451901,0.0,151.16441075480998,9085.295578476307
113,18.666666666666668,733.7467166666667,518.9319429341109,0.0,214.81477373255575,8846.612496551244
114,18.833333333333332,744.9883333333333,8.105142096752309e-07,0.0,744.9883325228192,8018.847682637001
115,19.0,705.23855,1.103026550590827e-05,0.0,705.2385389697346,7235.249306003962
116,19.166666666666668,680.1528000000001,0.0,0.0,680.1528000000001,6479.523972670629
117,19.333333333333332,681.3333333333334,2.235985711498327e-06,0.0,681.3333310973477,5722.48693811802
118,19.5,687.14525,0.0,0.0,687.14525,4958.992215895798
119,19.666666666666668,732.77075,1.9919866554294187e-06,0.0,732.7707480080134,4144.802495886895
120,19.833333333333332,779.2083333333334,2.211585805891543e-06,0.0,779.2083311217476,3279.015461307175
121,20.0,744.5818333333333,0.0,0.0,744.5818333333333,2451.7023131590267
122,20.166666666666668,722.5755166666667,2.390930727229205e-05,0.0,722.5754927573594,1648.8406545397386
123,20.333333333333332,738.23,2.3823851451398172e-06,334.2734085318502,403.95658908576473,1200.0
124,20.5,727.7085166666667,0.0,727.7085166666667,0.0,1200.0
125,20.666666666666668,723.4102666666666,253.47729731620393,469.9329693504627,0.0,1200.0
