date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,8041.228276008229,99.58616666666637
2025-03-20,4,1906.632898107,4665.401553333333
2025-03-20,8,6174.23145,2777.3772166666668
2025-03-20,12,3065.6996141152276,460.221716666666
2025-03-20,16,267.4378399999996,5647.879676666666
2025-03-20,20,631.1524833333328,2944.541136666667
2025-06-21,0,1297.0673100000001,1.9791833333333102
2025-06-21,4,494.3575933333332,2181.115406266668
2025-06-21,8,8639.729948518518,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,348.63707333333343,5072.236546666665
2025-06-21,20,1923.77517,2485.896583333333
2025-09-23,0,9118.616871975308,21.001133333333428
2025-09-23,4,1548.4521980246955,6096.459789999998
2025-09-23,8,5908.725440000004,1896.6157166666667
2025-09-23,12,4349.385161440322,495.02188666666666
2025-09-23,16,45.446288724279654,5623.424823333333
2025-09-23,20,760.237063333333,2973.8044433333325
2025-12-21,0,8806.228406584365,54.433013333333065
2025-12-21,4,1842.4876230041182,1401.2310233333333
2025-12-21,8,5826.126630000001,6485.47348
2025-12-21,12,5753.335242427986,2108.015513333335
2025-12-21,16,0.0,5563.012200000003
2025-12-21,20,671.4887366666663,2848.3902233333333
