candidate,reference,purpose,total_saving_yuan,saving_percent,contract_saving_yuan,emergency_saving_yuan,winning_days,losing_days,tied_days,losing_months,winning_months,inventory_adjusted_saving_yuan,block7_lower_yuan,block7_upper_yuan,block7_crosses_zero,block14_lower_yuan,block14_upper_yuan,block14_crosses_zero
q2_reserve,q2_greedy,storage-control freedom; matched four-search protocol,69508.06918592473,0.49952040017072646,92210.90668998627,-22702.83750406156,221,113,0,"2025-02,2025-05,2025-09,2025-10",7,69530.58631993385,4484.51713030305,160892.5470924326,False,3279.77013734973,162427.06308124753,False
q3_no_update_reserve,q3_no_update_greedy,storage-control freedom; matched four-search protocol,42800.543001905564,0.3058703237589225,88703.6414822774,-45903.09848037189,236,98,0,"2025-04,2025-06,2025-09,2025-11",7,42856.14644526546,6296.798234299315,87528.98742940508,False,1808.9486942414946,91797.51686767103,False
q3_soc_reserve,q3_soc_greedy,storage-control freedom; matched four-search protocol,-37909.91590708925,-0.27662971769656947,114799.78232117041,-152709.69822825963,205,129,0,"2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",2,-37892.3892634234,-77846.46416207102,-3985.6937381171956,False,-72928.26129375759,-2316.6405498942604,False
q3_raw_reserve,q3_raw_greedy,storage-control freedom; matched four-search protocol,-15667.057600767777,-0.11554447871716064,58662.19222849777,-74329.2498292655,179,155,0,"2025-02,2025-03,2025-04,2025-07,2025-09",6,-15644.338957710306,-35001.28331545906,2673.3203552023865,True,-37328.44323409798,4755.637070623967,True
q3_w28_reserve,q3_w28_greedy,storage-control freedom; matched four-search protocol,-6206.0731271366,-0.0457396532492944,51849.04572821087,-58055.11885534749,188,146,0,"2025-02,2025-03,2025-04,2025-05,2025-09",6,-6147.213040763961,-26366.998853782978,14137.797243508443,True,-29281.124450837495,16720.134507652478,True
q42_ols_reserve,q42_ols_greedy,storage-control freedom; matched four-search protocol,68043.64653673233,0.4633054598670506,112997.37252761309,-44953.725990880834,206,128,0,"2025-02,2025-03,2025-05,2025-09,2025-10",6,67842.9036106357,1453.2822841443954,155787.03358861842,False,-3135.991836836849,158176.85639992685,True
q42_fixed_reserve,q42_fixed_greedy,storage-control freedom; matched four-search protocol,58177.4759165347,0.3963103864962171,99162.19783167396,-40984.72191513917,230,104,0,"2025-02,2025-03,2025-05,2025-08,2025-09,2025-10",5,58199.993050543824,-4730.216677912372,142425.2860142879,True,-9305.858089697938,145722.40013604172,True
q43_raw_ols_reserve,q43_raw_ols_greedy,storage-control freedom; matched four-search protocol,7194.427682440719,0.05023749960589258,70754.98754245823,-63560.559860017456,186,148,0,"2025-02,2025-03,2025-04,2025-05,2025-09",6,7274.913486028327,-14347.683114552096,30167.308516128316,True,-18423.910497017863,33626.59426400498,True
q43_w28_ols_reserve,q43_w28_ols_greedy,storage-control freedom; matched four-search protocol,4524.970566547185,0.031592013830550755,59168.73434641845,-54643.763779871304,186,148,0,"2025-02,2025-03,2025-04,2025-05,2025-06,2025-09",5,4563.268167642552,-17373.775342615314,26950.72048952115,True,-19561.401928535797,29709.55708332941,True
q43_raw_fixed_reserve,q43_raw_fixed_greedy,storage-control freedom; matched four-search protocol,-10303.612469626123,-0.07189122055768818,61705.00081045274,-72008.61328007886,181,153,0,"2025-02,2025-03,2025-04,2025-07,2025-09",6,-10280.893826568652,-31551.61617179897,9510.222159907275,True,-34708.00541112897,12582.47621913514,True
q43_w28_fixed_reserve,q43_w28_fixed_greedy,storage-control freedom; matched four-search protocol,239.0584081169127,0.001666778893695523,54822.87220414984,-54583.81379603286,197,137,0,"2025-02,2025-03,2025-04,2025-05,2025-09",6,297.91849448955213,-22926.855298098315,24739.065831905835,True,-26849.090541536287,28319.16479721156,True
