grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,policy,branch,price_method,control,billing,days,intervals,initial_energy_kwh,final_energy_kwh,optimizer_count,optimizer_success_count,optimizer_non_success_count,optimizer_exception_count,invalid_return_fallback_count,initializer_fallback_count,retained_start_selected_count,keep_current_selected_count,optimizer_nfev,optimizer_total_wall_seconds,milp_total_runtime_seconds,wall_seconds,inventory_adjusted_cost_yuan,emergency_margin_yuan,passes_emergency_reference,base_policy,stage,source_ledger,reserve_above_floor_intervals,deliberate_retention_intervals,withheld_discharge_kwh,emergency_while_retaining_intervals,emergency_intervals
21001429.726237632,21001429.726237632,147464.807083186,13075508.767924976,0.0,0.0,13075508.767924976,839452.2951603796,13914961.063085355,6034117.704139661,4891344.877500922,2066932.2117154163,733846.3459551871,1333085.865760229,q2_greedy,q2,fixed,greedy,fixed,334,48096,7268.4231640740745,3146.715222078143,1336,384,952,0,0,0,0,0,285492,40.175505177350715,9.811567957163788,60.81118166699889,13917803.300143726,160547.7048396204,True,q2,matched_v6,results/storage_control_v6/runs/q2_greedy/ledger.csv,0,0,4.487188398627495e-11,0,931
20865128.05709341,20865128.05709341,186092.42165384314,12983297.861234989,0.0,0.0,12983297.861234989,862155.1326644411,13845452.99389943,6080216.598577391,4928655.593825759,1960469.979028956,649956.961676756,1310513.0173522,q2_reserve,q2,fixed,reserve,fixed,334,48096,7268.4231640740745,3179.36874399428,1336,265,1071,0,0,0,0,0,285203,43.26762892099214,9.515932405396597,63.70547970800544,13848272.713823792,137844.86733555887,True,q2,matched_v6,results/storage_control_v6/runs/q2_reserve/ledger.csv,42950,2158,151732.86602098454,2158,2520
21346473.70708717,21346473.70708717,115016.67980037336,13352912.183846712,0.0,0.0,13352912.183846712,640123.3208463249,13993035.504693039,5987809.544866756,4854289.699661087,2388781.0467152083,1041002.8868216515,1347778.1598935565,q3_no_update_greedy,q3,fixed,greedy,fixed,334,48096,7268.4231640740745,2641.79169850279,1336,406,930,0,0,0,0,0,284605,36.58600215810293,8.858868714858545,55.93148379199556,13996225.925652489,359876.6791536751,True,q3_no_update,matched_v6,results/storage_control_v6/runs/q3_no_update_greedy/ledger.csv,0,0,4.661160346586257e-11,0,794
21231137.866440594,21231137.866440594,143625.786427383,13264208.542364435,0.0,0.0,13264208.542364435,686026.4193266968,13950234.961691132,6029053.196632108,4887624.486924165,2294145.4481933685,959998.4396794075,1334147.008513961,q3_no_update_reserve,q3,fixed,reserve,fixed,334,48096,7268.4231640740745,2722.4257727872628,1336,293,1043,0,0,0,0,0,278619,38.133638858940685,8.941945171129191,57.49842866700783,13953369.779207222,313973.5806733032,True,q3_no_update,matched_v6,results/storage_control_v6/runs/q3_no_update_reserve/ledger.csv,40155,1626,96856.90945076736,1626,2047
21351489.145835534,21222680.800135776,55112.96288038151,13355050.578236476,129646.79261678108,-56061.66711063763,13428635.70374262,275573.7437296916,13704209.447472312,6008032.361753387,4870858.323659515,2201430.229955621,882882.5488312016,1318547.6811244194,q3_soc_greedy,q3,fixed,greedy,fixed,334,48096,7268.4231640740745,2432.744675995494,5344,2805,2539,0,0,0,0,545,1017436,95.97575270073139,31.286267016635975,153.40634766699804,13707544.022554925,724426.2562703084,True,q3_soc,matched_v6,results/storage_control_v6/runs/q3_soc_greedy/ledger.csv,0,0,5.221578724956544e-11,0,558
21241662.70255255,21122159.041071475,100422.1444056885,13268798.415427491,95976.36534292571,-50938.859348968974,13313835.92142145,428283.4419579513,13742119.3633794,6060041.661994213,4912962.98200832,2136313.010524601,822560.7895027313,1313752.2210218697,q3_soc_reserve,q3,fixed,reserve,fixed,334,48096,7268.4231640740745,2458.1611718438185,5344,2342,3002,0,0,0,0,614,1029709,104.66162845297367,30.94594845167012,162.1234938330017,13745436.411818348,571716.5580420487,True,q3_soc,matched_v6,results/storage_control_v6/runs/q3_soc_reserve/ledger.csv,34664,1305,65519.148646076246,1305,1690
21337553.39217434,20665946.90774838,58813.05201154292,13349212.083245568,181063.4296419619,-269945.0532140203,13260330.459673509,298999.9165696517,13559330.376243163,6108630.950476129,4952346.571194318,1629286.0855114423,426917.723036224,1202368.3624752185,q3_raw_greedy,q3,fixed,greedy,fixed,334,48096,7268.4231640740745,2428.977265570165,5344,2773,2571,0,0,0,1,178,1027416,92.83466106231208,29.40542283016839,147.26175899998634,13562667.549247239,701000.0834303483,True,q3_raw,matched_v6,results/storage_control_v6/runs/q3_raw_greedy/ledger.csv,0,0,6.315514777810449e-11,0,546
21222587.59840916,20646172.30525946,87973.81855566226,13260425.109075116,188065.34066304588,-246822.1822931511,13201668.267445011,373329.1663989172,13574997.43384393,6161864.115547461,4995435.783733444,1628528.297034436,426585.7802968373,1201942.5167375987,q3_raw_reserve,q3,fixed,reserve,fixed,334,48096,7268.4231640740745,2461.923008517798,5344,2375,2969,0,0,0,0,146,1042478,101.64910591345688,29.081080528820166,156.1233889580035,13578311.888204947,626670.8336010828,True,q3_raw,matched_v6,results/storage_control_v6/runs/q3_raw_reserve/ledger.csv,30916,1247,55996.20227153705,1247,1556
21359753.221538186,20681310.738045502,55997.8683457896,13377067.238560472,189910.38667162962,-280233.7845696931,13286743.840662409,281511.8986447944,13568255.739307202,6108185.350004643,4952053.866333701,1641987.6277536838,434078.9749130112,1207908.6528406728,q3_w28_greedy,q3,fixed,greedy,fixed,334,48096,7268.4231640740745,2353.164464140459,5344,2847,2497,0,0,0,0,180,1015961,92.81677986802242,29.927313903113827,149.87803058399004,13571645.191113357,718488.1013552055,True,q3_w28,matched_v6,results/storage_control_v6/runs/q3_w28_greedy/ledger.csv,0,0,6.357991910732608e-11,0,519
21226310.67295575,20668264.224099353,80431.80148648082,13276739.673205778,208355.4879413256,-250200.3662129079,13234894.794934198,339567.01750014187,13574461.81243434,6161500.715566222,4995162.491373891,1643168.3064268357,437397.9887187309,1205770.317708105,q3_w28_reserve,q3,fixed,reserve,fixed,334,48096,7268.4231640740745,2438.5212026834647,5344,2409,2935,0,0,0,1,155,1034103,101.99212757646455,29.58610114484327,159.05338054100866,13577792.40415412,660432.9824998581,True,q3_w28,matched_v6,results/storage_control_v6/runs/q3_w28_reserve/ledger.csv,30545,1110,46422.06177456209,1110,1427
