month,total_cost_yuan,contract_cost_yuan,emergency_cost_yuan,policy
2025-02,1183710.104864005,1178931.4160703945,4778.688793610506,q2_greedy
2025-03,1132427.0000908202,1070308.0849269044,62118.915163915706,q2_greedy
2025-04,961489.7288216765,889531.8625115227,71957.86631015374,q2_greedy
2025-05,988797.4547087504,898724.3783661119,90073.07634263841,q2_greedy
2025-06,1539091.3767287305,1210666.705323118,328424.6714056126,q2_greedy
2025-07,1550158.026594153,1437754.9135504968,112403.1130436561,q2_greedy
2025-08,1287746.433480908,1284259.2651915387,3487.168289369283,q2_greedy
2025-09,1138478.7528876425,1088363.400006059,50115.352881583225,q2_greedy
2025-10,1110340.5060644557,1097056.4747025087,13284.031361946923,q2_greedy
2025-11,1253208.466760066,1250850.1607516534,2358.306008412623,q2_greedy
2025-12,1769513.2120841467,1669062.106524666,100451.1055594805,q2_greedy
2025-02,1187969.5761871126,1175964.2785684427,12005.297618669907,q2_reserve
2025-03,1128410.3916771703,1070002.3331617534,58408.05851541679,q2_reserve
2025-04,959038.6613756667,888949.5534942526,70089.10788141402,q2_reserve
2025-05,992341.5927341307,892953.7200354569,99387.87269867375,q2_reserve
2025-06,1494955.4703631396,1203855.7614163894,291099.7089467504,q2_reserve
2025-07,1540038.1759363727,1420061.4430152758,119976.73292109685,q2_reserve
2025-08,1286462.8025843329,1261037.017379828,25425.78520450506,q2_reserve
2025-09,1140597.3950824123,1071052.875672404,69544.51941000846,q2_reserve
2025-10,1112525.1570917075,1089821.9524153757,22703.20467633173,q2_reserve
2025-11,1252413.8586220844,1247861.1926060498,4552.666016034724,q2_reserve
2025-12,1750699.9122452997,1661737.73346976,88962.1787755395,q2_reserve
2025-02,1223960.5018957972,1210222.3092976236,13738.192598173624,q3_no_update_greedy
2025-03,1171387.517390742,1111959.1791674623,59428.338223279614,q3_no_update_greedy
2025-04,944749.5108854313,913156.6029339005,31592.907951530702,q3_no_update_greedy
2025-05,987351.7381255474,906307.9616145155,81043.77651103196,q3_no_update_greedy
2025-06,1336925.2179165436,1271446.3856292746,65478.83228726896,q3_no_update_greedy
2025-07,1688926.6116931532,1435277.2349945335,253649.3766986196,q3_no_update_greedy
2025-08,1302106.4553670972,1294432.057906364,7674.397460733008,q3_no_update_greedy
2025-09,1156892.805534214,1121582.2784128773,35310.5271213365,q3_no_update_greedy
2025-10,1157642.3930901615,1155316.1070959708,2326.2859941905863,q3_no_update_greedy
2025-11,1268847.085396762,1268034.4741730758,812.6112236863718,q3_no_update_greedy
2025-12,1754245.667397589,1665177.592621115,89068.07477647404,q3_no_update_greedy
2025-02,1223193.8134940572,1206509.4125204664,16684.40097359076,q3_no_update_reserve
2025-03,1168322.78346991,1108220.528830774,60102.2546391362,q3_no_update_reserve
2025-04,946287.3157839769,907841.9382781053,38445.37750587151,q3_no_update_reserve
2025-05,987152.8174953669,900571.1687343161,86581.64876105088,q3_no_update_reserve
2025-06,1338498.1516156094,1270774.1824802188,67723.96913539055,q3_no_update_reserve
2025-07,1671970.8270024678,1427280.660049179,244690.16695328883,q3_no_update_reserve
2025-08,1298788.1309555906,1281978.9924423965,16809.138513194208,q3_no_update_reserve
2025-09,1160212.9457229965,1105845.355371262,54367.59035173439,q3_no_update_reserve
2025-10,1148255.1144975452,1141597.9413271246,6657.173170420644,q3_no_update_reserve
2025-11,1269872.201638334,1260457.0551690399,9415.146469293992,q3_no_update_reserve
2025-12,1737680.8600152782,1653131.3071615533,84549.5528537249,q3_no_update_reserve
2025-02,1215500.8781239265,1211441.8461020559,4059.032021870591,q3_soc_greedy
2025-03,1133360.4429300118,1123944.7981129002,9415.644817111477,q3_soc_greedy
2025-04,923190.6736548981,917560.610518814,5630.063136084109,q3_soc_greedy
2025-05,972169.4537494261,909402.7957160209,62766.65803340519,q3_soc_greedy
2025-06,1325050.2095633717,1277921.612401733,47128.59716163886,q3_soc_greedy
2025-07,1569204.9287296582,1469601.6769487048,99603.25178095346,q3_soc_greedy
2025-08,1293235.5563497795,1292749.3567876422,486.1995621372452,q3_soc_greedy
2025-09,1137932.734396313,1127279.632097631,10653.10229868214,q3_soc_greedy
2025-10,1151894.4203716505,1151043.70070439,850.7196672604737,q3_soc_greedy
2025-11,1269147.3436925441,1268337.614701064,809.7289914802169,q3_soc_greedy
2025-12,1713522.805910731,1679352.059651663,34170.74625906783,q3_soc_greedy
2025-02,1217361.4080827408,1204637.4331691924,12723.974913548413,q3_soc_reserve
2025-03,1140355.7512246326,1116226.0607135333,24129.6905110991,q3_soc_reserve
2025-04,930942.9328592399,910169.4825196933,20773.450339546478,q3_soc_reserve
2025-05,975152.2445365917,903222.3581293377,71929.88640725399,q3_soc_reserve
2025-06,1327791.7320783886,1276120.0475311035,51671.68454728503,q3_soc_reserve
2025-07,1575160.4793985465,1454593.0725767978,120567.40682174858,q3_soc_reserve
2025-08,1295976.4484037606,1280279.133130201,15697.315273559632,q3_soc_reserve
2025-09,1146956.7764906303,1109792.4411549591,37164.3353356711,q3_soc_reserve
2025-10,1143824.6364999346,1139142.110687871,4682.525812063624,q3_soc_reserve
2025-11,1268199.0910171708,1261351.8210219997,6847.269995171172,q3_soc_reserve
2025-12,1720397.8627877634,1658301.9607867592,62095.90200100416,q3_soc_reserve
2025-02,1189096.6774105441,1183415.0445982139,5681.632812330287,q3_raw_greedy
2025-03,1098928.9428496782,1095651.0693078297,3277.8735418486717,q3_raw_greedy
2025-04,911823.6867418034,907399.5313804882,4424.155361315325,q3_raw_greedy
2025-05,971930.3138104816,912505.1739596212,59425.13985086031,q3_raw_greedy
2025-06,1336022.5554313466,1270672.443128747,65350.112302599766,q3_raw_greedy
2025-07,1558564.7084722423,1456087.2656792179,102477.44279302457,q3_raw_greedy
2025-08,1279653.489995009,1279439.3351387638,214.15485624525564,q3_raw_greedy
2025-09,1119807.0877932943,1111694.2127740306,8112.875019263544,q3_raw_greedy
2025-10,1120965.4274757346,1120720.3321101114,245.09536562325908,q3_raw_greedy
2025-11,1262413.1155757385,1262411.2341384327,1.8814373058344358,q3_raw_greedy
2025-12,1710124.3706872875,1660334.8174580527,49789.55322923489,q3_raw_greedy
2025-02,1196333.897281171,1180890.6626390591,15443.234642111847,q3_raw_reserve
2025-03,1105876.089288665,1093463.045638649,12413.04365001607,q3_raw_reserve
2025-04,914349.1503897688,905859.3134888884,8489.836900880371,q3_raw_reserve
2025-05,970301.5666655661,909404.8806495128,60896.68601605323,q3_raw_reserve
2025-06,1335340.6313433081,1269555.1069698778,65785.52437343023,q3_raw_reserve
2025-07,1562637.1245773963,1444243.952913173,118393.1716642233,q3_raw_reserve
2025-08,1276384.2327709629,1271313.8309340258,5070.401836937122,q3_raw_reserve
2025-09,1126139.018529197,1099956.0265346752,26182.991994521763,q3_raw_reserve
2025-10,1118611.4819586796,1114102.5028745474,4508.979084132412,q3_raw_reserve
