date,interval_start,interval_end,grid_original_kwh,grid_effective_kwh
2025-03-20,2025-03-20 10:00:00,2025-03-20 10:10:00,0.0,0.0
2025-03-20,2025-03-20 12:00:00,2025-03-20 12:10:00,536.8102600307327,430.0947794751769
2025-03-20,2025-03-20 14:00:00,2025-03-20 14:10:00,0.0,0.0
2025-03-20,2025-03-20 16:00:00,2025-03-20 16:10:00,620.2316521749822,620.2316521749821
2025-03-20,2025-03-20 18:00:00,2025-03-20 18:10:00,701.8792937774591,701.8792937774591
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:10:00,0.0,0.0
2025-06-21,2025-06-21 10:00:00,2025-06-21 10:10:00,0.0,0.0
2025-06-21,2025-06-21 12:00:00,2025-06-21 12:10:00,0.0,0.0
2025-06-21,2025-06-21 14:00:00,2025-06-21 14:10:00,0.0,0.0
2025-06-21,2025-06-21 16:00:00,2025-06-21 16:10:00,149.7663260404787,142.49981865757414
2025-06-21,2025-06-21 18:00:00,2025-06-21 18:10:00,0.0,0.0
2025-06-21,2025-06-21 20:00:00,2025-06-21 20:10:00,0.0,0.0
2025-09-23,2025-09-23 10:00:00,2025-09-23 10:10:00,0.0,0.0
2025-09-23,2025-09-23 12:00:00,2025-09-23 12:10:00,350.92478473734707,350.9247847373471
2025-09-23,2025-09-23 14:00:00,2025-09-23 14:10:00,0.0,0.0
2025-09-23,2025-09-23 16:00:00,2025-09-23 16:10:00,520.5637078243816,489.03252319119065
2025-09-23,2025-09-23 18:00:00,2025-09-23 18:10:00,755.3486078393819,755.3486078393819
2025-09-23,2025-09-23 20:00:00,2025-09-23 20:10:00,0.0,0.0
2025-12-21,2025-12-21 10:00:00,2025-12-21 10:10:00,0.0,0.0
2025-12-21,2025-12-21 12:00:00,2025-12-21 12:10:00,953.0828331922003,849.026091291212
2025-12-21,2025-12-21 14:00:00,2025-12-21 14:10:00,0.0,0.0
2025-12-21,2025-12-21 16:00:00,2025-12-21 16:10:00,776.2479884073023,806.2798923396472
2025-12-21,2025-12-21 18:00:00,2025-12-21 18:10:00,730.7546719740922,730.7546719740922
2025-12-21,2025-12-21 20:00:00,2025-12-21 20:10:00,0.0,0.0
